"","gene","model","lnL","kappa","omega","tree_length","tree_length_dN","tree_length_dS","mean_dN","mean_dS","p0","p1","w0","w1","p2","w2","n_positive_sites","beta_p","beta_q","w_positive"
"82","petD","M1a",-635.466144,999,NA,0.013087,NA,NA,0.000175,0.00055,0.67122,0.32878,0,1,NA,NA,NA,NA,NA,NA
"83","psaA","M1a",-3065.527058,4.71854,NA,0.007155,NA,NA,0,0.00053124999999999,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"84","psaB","M1a",-2986.055704,999,NA,0.008358,NA,NA,0,6e-04,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"85","psaC","M1a",-318.191526,1.83536,NA,6.4e-05,NA,NA,0,0,0.9581,0.0419,0.48902,1,NA,NA,NA,NA,NA,NA
"86","psbA","M1a",-1417.614903,1.82743,NA,0.009516,NA,NA,0,0.00084374999999999,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"87","psbB","M1a",-2053.148306,2.02713,NA,0.010834,NA,NA,0,0.00091249999999999,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"88","psbD","M1a",-1408.091208,999,NA,0.002998,NA,NA,0,0.00020625,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"89","psbE","M1a",-328.110068,1.98087,NA,6.4e-05,NA,NA,0,0,0.96504,0.03496,0.22633,1,NA,NA,NA,NA,NA,NA
"90","psbH","M1a",-285.662369,999,NA,0.013764,NA,NA,0,0.00128125,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"91","psbK","M1a",-229.952235,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"92","psbZ","M1a",-224.569856,1.52804,NA,6.4e-05,NA,NA,0,0,0.00022,0.99978,1,1,NA,NA,NA,NA,NA,NA
"93","rbcL","M1a",-1977.492599,1.64204,NA,0.021836,NA,NA,3e-04,0.0010125,0.71606,0.28394,0,1,NA,NA,NA,NA,NA,NA
"94","rpl14","M1a",-486.438196,999,NA,0.016862,NA,NA,0,0.001375,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"95","rpl2","M1a",-1097.210461,1e-04,NA,0.003761,NA,NA,7.5e-05,7.5e-05,0.84009,0.15991,1,1,NA,NA,NA,NA,NA,NA
"96","rpl20","M1a",-485.853009,1.47099,NA,0.043881,NA,NA,0.0009125,0.0009125,1e-05,0.99999,0.03506,1,NA,NA,NA,NA,NA,NA
"97","rpl22","M1a",-616.473198,1e-04,NA,0.020291,NA,NA,0.00041875,0.00041875,1e-05,0.99999,0.3777,1,NA,NA,NA,NA,NA,NA
"98","rpl23","M1a",-366.632096,1.99517,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0.19965,1,NA,NA,NA,NA,NA,NA
"99","rpl32","M1a",-211.92412,1.00695,NA,0.040268,NA,NA,0,0.00494375,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"100","rpl33","M1a",-284.486521,0.92879,NA,0.060622,NA,NA,0.00039375,0.00535,0.99999,1e-05,0.07337,1,NA,NA,NA,NA,NA,NA
"101","rpoA","M1a",-1325.279836,1.04561,NA,0.018608,NA,NA,0.00038125,0.00038125,1e-05,0.99999,0.20482,1,NA,NA,NA,NA,NA,NA
"102","rpoB","M1a",-4285.155632,1.96409,NA,0.003851,NA,NA,7.5e-05,9.375e-05,0.37805,0.62195,0.50174,1,NA,NA,NA,NA,NA,NA
"103","rpoC1","M1a",-2742.040351,2.73401,NA,0.007569,NA,NA,0.000125,0.00028125,0.59478,0.40522,0,1,NA,NA,NA,NA,NA,NA
"104","rpoC2","M1a",-5738.624221,2.08324,NA,0.016938,NA,NA,0.00019999999999999,0.00085,0.99999,1e-05,0.25263,1,NA,NA,NA,NA,NA,NA
"105","rps11","M1a",-543.361179,999,NA,0.016495,NA,NA,0,0.00154375,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"106","rps14","M1a",-403.587711,1e-04,NA,0.010276,NA,NA,0.0002125,0.0002125,1e-05,0.99999,1,1,NA,NA,NA,NA,NA,NA
"107","rps15","M1a",-343.534542,999,NA,0.010411,NA,NA,0,0.0007625,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"108","rps16","M1a",-370.260172,5.91007,NA,0.047007,NA,NA,6e-04,0.00243125,0.99999,1e-05,0.2494,1,NA,NA,NA,NA,NA,NA
"109","rps18","M1a",-408.980037,999,NA,0.030703,NA,NA,6e-04,0.00076875,0.99999,1e-05,0.76623,1,NA,NA,NA,NA,NA,NA
"110","rps19","M1a",-359.658202,999,NA,0.011162,NA,NA,0.00023125,0.00023125,1e-05,0.99999,0.02881,1,NA,NA,NA,NA,NA,NA
"111","rps2","M1a",-937.30997,1e-04,NA,0.004365,NA,NA,8.75e-05,8.75e-05,1e-05,0.99999,1,1,NA,NA,NA,NA,NA,NA
"112","rps3","M1a",-857.172424,999,NA,0.009492,NA,NA,0.0001375,0.0003875,0.99999,1e-05,0.33463,1,NA,NA,NA,NA,NA,NA
"113","rps4","M1a",-808.520315,1.63306,NA,0.010337,NA,NA,0.0001375,0.00053125,0.75056,0.24944,0,1,NA,NA,NA,NA,NA,NA
"114","rps7","M1a",-607.221002,1.97166,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"115","rps8","M1a",-535.00329,1e-04,NA,0.013274,NA,NA,0,0.00156875,0.99999,1e-05,0,1,NA,NA,NA,NA,NA,NA
"116","ycf1","M1a",-7786.157139,0.84223,NA,0.037093,NA,NA,0.00066875,0.00131875,0.4957,0.5043,0,1,NA,NA,NA,NA,NA,NA
"117","atpA","M2a",-2027.119534,0.79442,NA,0.006273,NA,NA,5.625e-05,0.0004125,1,0,0.12646,1,0,1,0,NA,NA,NA
"118","atpB","M2a",-1983.694174,999,NA,0.002096,NA,NA,0,0.00015,1,0,0,1,0,1,0,NA,NA,NA
"119","atpE","M2a",-531.71415,1e-04,NA,0.007422,NA,NA,0.00019375,0,1e-05,0,0,1,0.99999,999,0,NA,NA,NA
"120","atpH","M2a",-314.844455,999,NA,0.013058,NA,NA,0,0.00106875,1,0,0,1,0,52.14357,0,NA,NA,NA
"121","atpI","M2a",-984.169636,2.26898,NA,0.008201,NA,NA,0.000225,0,0,0,0,1,1,61.88944,0,NA,NA,NA
"122","ccsA","M2a",-1307.197642,3.65377,NA,0.02323,NA,NA,0.000175,0.00144375,1,0,0.12002,1,0,1,0,NA,NA,NA
"123","cemA","M2a",-915.717555,1e-04,NA,0.013612,NA,NA,0.00020625,0.0007125,1,0,0.299,1,0,1,0,NA,NA,NA
"124","clpP1","M2a",-793.267993,1.33186,NA,0.011608,NA,NA,0,0.0009625,1,0,0,1,0,1,0,NA,NA,NA
"125","matK","M2a",-2047.96457,4.26982,NA,0.02408,NA,NA,5e-04,0.000525,0.99995,0,0.94141,1,5e-05,1,0,NA,NA,NA
"126","ndhA","M2a",-1455.546592,3.94645,NA,0.016945,NA,NA,0.00030625,0.0004875,1,0,0.64005,1,0,1,0,NA,NA,NA
"127","ndhB","M2a",-2019.197499,1e-04,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"128","ndhC","M2a",-461.916881,999,NA,0.009606,NA,NA,0,0.00071875,1,0,0,1,0,1,0,NA,NA,NA
"129","ndhE","M2a",-383.43833,1e-04,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"130","ndhF","M2a",-2902.617358,1.33932,NA,0.014102,NA,NA,0.00024375,0.00050625,1,0,0.47635,1,0,1,0,NA,NA,NA
"131","ndhG","M2a",-689.559708,1e-04,NA,0.011388,NA,NA,0.0002875,0,0,0,1,1,1,999,0,NA,NA,NA
"132","ndhH","M2a",-1634.675158,1.51365,NA,0.027313,NA,NA,0.00025624999999999,0.0016875,0.97821,0,0,1,0.02179,6.99457,0,NA,NA,NA
"133","ndhI","M2a",-706.213178,3.34655,NA,0.045863,NA,NA,0.00070625,0.0018375,0.96335,0,0,1,0.03665,10.45716,0,NA,NA,NA
"134","ndhJ","M2a",-637.473803,1e-04,NA,0.006328,NA,NA,0.00015625,0,0,0,0,1,1,999,0,NA,NA,NA
"135","ndhK","M2a",-915.74277,0.67701,NA,0.014739,NA,NA,0,0.0015,1,0,0,1,0,1,0,NA,NA,NA
"136","pafI","M2a",-693.959041,0.36336,NA,0.025577,NA,NA,0.00015,0.0024375,1,0,0.06126,1,0,1,0,NA,NA,NA
"137","pafII","M2a",-730.00165,999,NA,0.005881,NA,NA,0,0.0004125,1,0,0,1,0,1,0,NA,NA,NA
"138","petA","M2a",-1317.269732,0.42019,NA,0.024282,NA,NA,0.00061874999999999,3.125e-05,0.97289,0,1,1,0.02711,999,3,NA,NA,NA
"139","petB","M2a",-869.762253,999,NA,0.015033,NA,NA,0,0.001125,1,0,0,1,0,1,0,NA,NA,NA
"140","petD","M2a",-634.659265,999,NA,0.047405,NA,NA,0.00113124999999999,0.00054375,0.99261,0,0,1,0.00739,280.9773,0,NA,NA,NA
"141","psaA","M2a",-3065.526922,4.71816,NA,0.007154,NA,NA,0,0.00053124999999999,1,0,0,1,0,1,0,NA,NA,NA
"142","psaB","M2a",-2986.055562,999,NA,0.008358,NA,NA,0,6e-04,1,0,0,1,0,1,0,NA,NA,NA
"143","psaC","M2a",-318.191014,1e-04,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"144","psbA","M2a",-1417.614794,1.82733,NA,0.009517,NA,NA,0,0.00084374999999999,1,0,0,1,0,1,0,NA,NA,NA
"145","psbB","M2a",-2053.14814,2.02699,NA,0.010834,NA,NA,0,0.00091249999999999,1,0,0,1,0,1,0,NA,NA,NA
"146","psbD","M2a",-1408.091185,999,NA,0.002998,NA,NA,0,0.00020625,1,0,0,1,0,58.67975,0,NA,NA,NA
"147","psbE","M2a",-328.109604,1e-04,NA,6.4e-05,NA,NA,0,0,0.99999,1e-05,0,1,0,1,0,NA,NA,NA
"148","psbH","M2a",-285.662337,999,NA,0.013764,NA,NA,0,0.00128125,1,0,0,1,0,1,0,NA,NA,NA
"149","psbK","M2a",-229.952235,1e-04,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"150","psbZ","M2a",-224.569837,1e-04,NA,6.4e-05,NA,NA,0,0,0.08378,0.80987,0,1,0.10635,1,0,NA,NA,NA
"151","rbcL","M2a",-1972.866567,1.88579,NA,0.02255,NA,NA,0.00041874999999999,0.00060625,0.97911,1e-05,0,1,0.02088,33.59925,0,NA,NA,NA
"152","rpl14","M2a",-486.438139,999,NA,0.016862,NA,NA,0,0.001375,1,0,0,1,0,40.97623,0,NA,NA,NA
"153","rpl2","M2a",-1096.99376,1e-04,NA,0.003793,NA,NA,9.375e-05,0,0,0,0,1,1,999,0,NA,NA,NA
"154","rpl20","M2a",-485.852902,1.46942,NA,0.043877,NA,NA,0.0009125,0.000925,1,0,0.98367,1,0,1,0,NA,NA,NA
"155","rpl22","M2a",-615.958764,1e-04,NA,0.020083,NA,NA,0.00050625,0,0,0,0,1,1,999,0,NA,NA,NA
"156","rpl23","M2a",-366.631832,1e-04,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"157","rpl32","M2a",-211.924028,1.00691,NA,0.040268,NA,NA,0,0.00494375,1,0,0,1,0,22.36169,0,NA,NA,NA
"158","rpl33","M2a",-284.486517,0.92878,NA,0.060622,NA,NA,0.00039375,0.00535,1,0,0.07338,1,0,1,0,NA,NA,NA
"159","rpoA","M2a",-1324.134999,1.25582,NA,0.018353,NA,NA,0.00048124999999999,0,0,0,1,1,1,999,6,NA,NA,NA
"160","rpoB","M2a",-4285.155511,1.96401,NA,0.003851,NA,NA,7.5e-05,9.375e-05,0.80628,0.13141,0.76573,1,0.06232,1,0,NA,NA,NA
"161","rpoC1","M2a",-2738.761517,3.1098,NA,0.0076,NA,NA,0.00015625,0.00015625,0.98897,0,0,1,0.01103,100.48702,0,NA,NA,NA
"162","rpoC2","M2a",-5738.624218,2.0829,NA,0.016938,NA,NA,0.00019999999999999,0.00085,1,0,0.25261,1,0,1,0,NA,NA,NA
"163","rps11","M2a",-543.361101,999,NA,0.016494,NA,NA,0,0.00154375,1,0,0,1,0,1,0,NA,NA,NA
"164","rps14","M2a",-403.434553,1e-04,NA,0.010042,NA,NA,0.00025,0,0,0,0,1,1,999,0,NA,NA,NA
"165","rps15","M2a",-343.534518,999,NA,0.01041,NA,NA,0,0.0007625,1,0,0,1,0,1,0,NA,NA,NA
"166","rps16","M2a",-370.26017,5.91006,NA,0.047006,NA,NA,6e-04,0.00243125,1,0,0.24941,1,0,1,0,NA,NA,NA
"167","rps18","M2a",-408.980037,999,NA,0.030703,NA,NA,6e-04,0.00076875,1,0,0.76624,1,0,1,0,NA,NA,NA
"168","rps19","M2a",-359.393897,999,NA,0.010884,NA,NA,3e-04,0,0,0,0,1,1,999,0,NA,NA,NA
"169","rps2","M2a",-937.144588,1e-04,NA,0.004288,NA,NA,0.00010625,0,0,0,1,1,1,999,0,NA,NA,NA
"170","rps3","M2a",-857.172423,999,NA,0.009491,NA,NA,0.0001375,0.0003875,1,0,0.33463,1,0,1,0,NA,NA,NA
"171","rps4","M2a",-808.425298,1.89155,NA,0.014701,NA,NA,0.00025,0.00051249999999999,0.99231,0,0,1,0.00769,63.20925,0,NA,NA,NA
"172","rps7","M2a",-607.220995,29.11452,NA,6.4e-05,NA,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA
"173","rps8","M2a",-535.003214,1e-04,NA,0.013274,NA,NA,0,0.00156875,1,0,0,1,0,1,0,NA,NA,NA
"174","ycf1","M2a",-7780.480255,0.95735,NA,0.038989,NA,NA,0.0007875,0.00095625,0.90165,0,0,1,0.09835,8.26035,0,NA,NA,NA
"175","atpA","M7",-2027.119557,0.79445,NA,0.006274,NA,NA,5.625e-05,0.0004125,NA,NA,NA,NA,NA,NA,NA,3.50208,23.91383,NA
"176","atpB","M7",-1983.694172,999,NA,0.002096,NA,NA,0,0.00015,NA,NA,NA,NA,NA,NA,NA,0.005,1.16876,NA
"177","atpE","M7",-531.924903,1e-04,NA,0.00762,NA,NA,0.00015625,0.00015625,NA,NA,NA,NA,NA,NA,NA,3.92392,0.005,NA
"178","atpH","M7",-314.844452,999,NA,0.013059,NA,NA,0,0.00106875,NA,NA,NA,NA,NA,NA,NA,0.005,19.45355,NA
"179","atpI","M7",-984.758739,1.95845,NA,0.008349,NA,NA,0.0001625,0.0001875,NA,NA,NA,NA,NA,NA,NA,0.03108,0.005,NA
"180","ccsA","M7",-1307.197932,3.65406,NA,0.023228,NA,NA,0.000175,0.00144375,NA,NA,NA,NA,NA,NA,NA,13.55063,99,NA
"181","cemA","M7",-915.717746,1e-04,NA,0.013612,NA,NA,0.00020625,0.0007125,NA,NA,NA,NA,NA,NA,NA,42.28447,99,NA
