Gene,Start,End,Region,Copy_Status
rps11,83468,83884,LSC,Single
rpl36,84027,84140,LSC,Single
infA,84257,84466,LSC,Single
rps8,84611,85015,LSC,Single
rpl14,85175,85543,LSC,Single
rpl16,85694,87277,LSC,Single
rps3,87467,88123,LSC,Single
rpl22,88171,88626,LSC,Single
rps19,88688,88966,LSC,Single
rpl2,89057,90587,IRb,Duplicate
rpl23,90606,90887,IRb,Duplicate
trnM-CAU,91052,91126,IRb,Duplicate
trnM-CAU | trnI-CAU,91053,91126,IRb,Duplicate
ycf2,91215,98096,IRb,Duplicate
trnL-CAA,99042,99124,IRb,Duplicate
trnL-CAA,99043,99123,IRb,Duplicate
ndhB,99772,101983,IRb,Duplicate
rps7,102307,102774,IRb,Duplicate
trnV-GAC,105543,105614,IRb,Duplicate
rrn16,105842,107332,IRb,Duplicate
trnI-GAU | trnE-UUC,107626,108654,IRb,Duplicate
trnI-GAU,107626,107713,IRb,Duplicate
trnA-UGC,108718,109584,IRb,Duplicate
trnA-UGC,108718,108822,IRb,Duplicate
rrn23,109752,112561,IRb,Duplicate
rrn23,109752,112362,IRb,Duplicate
rrn4.5,112660,112762,IRb,Duplicate
rrn5,113019,113139,IRb,Duplicate
trnR-ACG,113393,113467,IRb,Duplicate
trnR-ACG,113393,113466,IRb,Duplicate
trnN-GUU,114091,114164,IRb,Duplicate
trnN-GUU,114092,114163,IRb,Duplicate
ycf1,114481,120153,IRb,Single
rps15,120528,120800,SSC,Single
ndhH,120900,122081,SSC,Single
ndhA,122083,124316,SSC,Single
ndhI,124399,124902,SSC,Single
ycf2,124836,125063,SSC,Duplicate
ndhG,125331,125861,SSC,Single
ndhE,126090,126395,SSC,Single
psaC,126643,126888,SSC,Single
ndhD,127017,128519,SSC,Single
ccsA,128817,129797,SSC,Single
trnL-UAG,129911,129990,SSC,Single
rpl32,130837,131001,SSC,Single
ndhF,132231,134441,SSC,Single
trnN-GUU,134881,134954,IRa,Duplicate
trnN-GUU,134882,134953,IRa,Duplicate
trnR-ACG,135578,135652,IRa,Duplicate
trnR-ACG,135579,135652,IRa,Duplicate
rrn5,135906,136026,IRa,Duplicate
rrn4.5,136283,136385,IRa,Duplicate
rrn23,136484,139293,IRa,Duplicate
rrn23,136683,139293,IRa,Duplicate
trnA-UGC,139461,140327,IRa,Duplicate
trnA-UGC,140223,140327,IRa,Duplicate
trnI-GAU | trnE-UUC,140391,141419,IRa,Duplicate
trnI-GAU,141332,141419,IRa,Duplicate
rrn16,141713,143203,IRa,Duplicate
trnV-GAC,143431,143502,IRa,Duplicate
rps7,146271,146738,IRa,Duplicate
ndhB,147062,149273,IRa,Duplicate
trnL-CAA,149921,150003,IRa,Duplicate
trnL-CAA,149922,150002,IRa,Duplicate
ycf2,150949,157830,IRa,Duplicate
trnM-CAU,157919,157993,IRa,Duplicate
trnM-CAU | trnI-CAU,157919,157992,IRa,Duplicate
rpl23,158158,158439,IRa,Duplicate
rpl2,158458,159988,IRa,Duplicate
