gene,model,lnL,kappa,p0,p1,w0,w1,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS
rpl33,M1a,-284.486521,0.92879,0.99999,1e-05,0.07337,1.0,0.060622,,,0.00039375,0.00535
rpoA,M1a,-1325.279836,1.04561,1e-05,0.99999,0.20482,1.0,0.018608,,,0.00038125,0.00038125
rpoB,M1a,-4285.155632,1.96409,0.37805,0.62195,0.50174,1.0,0.003851,,,7.5e-05,9.375e-05
rpoC1,M1a,-2742.040351,2.73401,0.59478,0.40522,0.0,1.0,0.007569,,,0.000125,0.00028125
rpoC2,M1a,-5738.624221,2.08324,0.99999,1e-05,0.25263,1.0,0.016938,,,0.00019999999999999998,0.00085
rps11,M1a,-543.361179,999.0,0.99999,1e-05,0.0,1.0,0.016495,,,0.0,0.00154375
rps14,M1a,-403.587711,0.0001,1e-05,0.99999,1.0,1.0,0.010276,,,0.0002125,0.0002125
rps15,M1a,-343.534542,999.0,0.99999,1e-05,0.0,1.0,0.010411,,,0.0,0.0007625
rps16,M1a,-370.260172,5.91007,0.99999,1e-05,0.2494,1.0,0.047007,,,0.0006,0.0024312500000000003
rps18,M1a,-408.980037,999.0,0.99999,1e-05,0.76623,1.0,0.030703,,,0.0006000000000000001,0.0007687500000000001
rps19,M1a,-359.658202,999.0,1e-05,0.99999,0.02881,1.0,0.011162,,,0.00023125,0.00023125
rps2,M1a,-937.30997,0.0001,1e-05,0.99999,1.0,1.0,0.004365,,,8.75e-05,8.75e-05
rps3,M1a,-857.172424,999.0,0.99999,1e-05,0.33463,1.0,0.009492,,,0.0001375,0.0003875
rps4,M1a,-808.520315,1.63306,0.75056,0.24944,0.0,1.0,0.010337,,,0.0001375,0.00053125
rps7,M1a,-607.221002,1.97166,0.99999,1e-05,0.0,1.0,6.4e-05,,,0.0,0.0
rps8,M1a,-535.00329,0.0001,0.99999,1e-05,0.0,1.0,0.013274,,,0.0,0.00156875
ycf1,M1a,-7786.157139,0.84223,0.4957,0.5043,0.0,1.0,0.037093,,,0.0006687500000000001,0.0013187500000000003
