"","Query","Subject","ANI","Aligned_length","Query_length"
"52","B._pumilus_strain_27-WTB.fna","B._altitudinis_strain_BDGP7.fna",89.2137,1128,1264
"53","B._pumilus_strain_27-WTB.fna","B._altitudinis_strain_Ba_5.fna",89.1901,1108,1264
"54","B._ruminantium_strain_BB3-R1.fna","B._ruminantium_strain_BB3-R1.fna",100,1878,1878
"55","B._sonorensis_strain_SRCM101395.fna","B._sonorensis_strain_SRCM101395.fna",100,1606,1610
"56","B._sonorensis_strain_SRCM101395.fna","B._paralicheniformis_strain_SUBG0010.fna",83.0538,1053,1610
"57","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_SCGB_574.fna",79.1275,343,1610
"58","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_Pm9.fna",79.107,328,1610
"59","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_NJAU-Z9.fna",79.0987,335,1610
"60","B._sonorensis_strain_SRCM101395.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",79.0526,384,1610
"61","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_BS-G1.fna",79.0498,328,1610
"62","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_SMU-T0423.fna",79.0487,337,1610
"63","B._sonorensis_strain_SRCM101395.fna","B._subtilis_strain_SRCM116301.fna",79.0418,391,1610
"64","B._sonorensis_strain_SRCM101395.fna","B._subtilis_strain_PK5_52.fna",79.0408,401,1610
"65","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_Ag75.fna",79.007,328,1610
"66","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_JM199.fna",78.9821,337,1610
"67","B._sonorensis_strain_SRCM101395.fna","B._velezensis_strain_DJ4.fna",78.9671,331,1610
"68","B._sonorensis_strain_SRCM101395.fna","B._halotolerans_strain_KKD1.fna",78.9529,384,1610
"69","B._sonorensis_strain_SRCM101395.fna","B._subtilis_strain_4ZT.fna",78.9363,385,1610
"70","B._sonorensis_strain_SRCM101395.fna","B._subtilis_strain_K35-1.fna",78.9305,386,1610
"71","B._sonorensis_strain_SRCM101395.fna","B._subtilis_strain_YZ-1.fna",78.8294,403,1610
"72","B._sonorensis_strain_SRCM101395.fna","Strain_FO-S2.fna",78.3814,335,1610
"73","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",100,1359,1363
"74","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_strain_4ZT.fna",98.625,1279,1363
"75","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_strain_YZ-1.fna",98.5674,1316,1363
"76","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_strain_SRCM116301.fna",98.4814,1311,1363
"77","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_strain_K35-1.fna",98.3943,1295,1363
"78","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._subtilis_strain_PK5_52.fna",98.3002,1295,1363
"79","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._halotolerans_strain_KKD1.fna",87.5043,1199,1363
"80","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_SCGB_574.fna",81.198,676,1363
"81","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_DJ4.fna",81.1507,666,1363
"82","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_Pm9.fna",81.1199,689,1363
"83","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_NJAU-Z9.fna",81.1138,654,1363
"84","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_JM199.fna",81.0998,686,1363
"85","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_SMU-T0423.fna",81.0915,676,1363
"86","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_BS-G1.fna",81.0194,676,1363
"87","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._velezensis_strain_Ag75.fna",80.976,670,1363
"88","B._subtilis_isolate_NRS6105_NRS6105_1.fna","Strain_FO-S2.fna",80.8424,665,1363
"89","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._sonorensis_strain_SRCM101395.fna",78.9929,380,1363
"90","B._subtilis_isolate_NRS6105_NRS6105_1.fna","B._paralicheniformis_strain_SUBG0010.fna",78.9724,334,1363
"91","B._subtilis_strain_4ZT.fna","B._subtilis_strain_4ZT.fna",100,1356,1361
"92","B._subtilis_strain_4ZT.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",98.6035,1281,1361
"93","B._subtilis_strain_4ZT.fna","B._subtilis_strain_SRCM116301.fna",98.5931,1256,1361
"94","B._subtilis_strain_4ZT.fna","B._subtilis_strain_K35-1.fna",98.5601,1256,1361
"95","B._subtilis_strain_4ZT.fna","B._subtilis_strain_PK5_52.fna",98.5027,1251,1361
"96","B._subtilis_strain_4ZT.fna","B._subtilis_strain_YZ-1.fna",98.3948,1304,1361
"97","B._subtilis_strain_4ZT.fna","B._halotolerans_strain_KKD1.fna",87.8241,1210,1361
"98","B._subtilis_strain_4ZT.fna","B._velezensis_strain_JM199.fna",81.3454,680,1361
"99","B._subtilis_strain_4ZT.fna","B._velezensis_strain_SCGB_574.fna",81.2663,666,1361
"100","B._subtilis_strain_4ZT.fna","B._velezensis_strain_BS-G1.fna",81.2626,656,1361
"101","B._subtilis_strain_4ZT.fna","B._velezensis_strain_DJ4.fna",81.2364,667,1361
"102","B._subtilis_strain_4ZT.fna","B._velezensis_strain_SMU-T0423.fna",81.2002,659,1361
"103","B._subtilis_strain_4ZT.fna","B._velezensis_strain_NJAU-Z9.fna",81.1441,662,1361
"104","B._subtilis_strain_4ZT.fna","B._velezensis_strain_Ag75.fna",81.14,659,1361
"105","B._subtilis_strain_4ZT.fna","B._velezensis_strain_Pm9.fna",81.1141,672,1361
"106","B._subtilis_strain_4ZT.fna","Strain_FO-S2.fna",80.9287,684,1361
"107","B._subtilis_strain_4ZT.fna","B._sonorensis_strain_SRCM101395.fna",79.1419,364,1361
"108","B._subtilis_strain_4ZT.fna","B._paralicheniformis_strain_SUBG0010.fna",78.7697,341,1361
"109","B._subtilis_strain_K35-1.fna","B._subtilis_strain_K35-1.fna",100,1352,1354
"110","B._subtilis_strain_K35-1.fna","B._subtilis_strain_SRCM116301.fna",99.2721,1331,1354
"111","B._subtilis_strain_K35-1.fna","B._subtilis_strain_PK5_52.fna",98.9009,1310,1354
"112","B._subtilis_strain_K35-1.fna","B._subtilis_strain_4ZT.fna",98.5292,1257,1354
"113","B._subtilis_strain_K35-1.fna","B._subtilis_strain_YZ-1.fna",98.4732,1306,1354
"114","B._subtilis_strain_K35-1.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",98.4133,1299,1354
"115","B._subtilis_strain_K35-1.fna","B._halotolerans_strain_KKD1.fna",87.5219,1196,1354
"116","B._subtilis_strain_K35-1.fna","B._velezensis_strain_BS-G1.fna",81.2575,668,1354
"117","B._subtilis_strain_K35-1.fna","B._velezensis_strain_DJ4.fna",81.1677,671,1354
"118","B._subtilis_strain_K35-1.fna","B._velezensis_strain_JM199.fna",81.1594,683,1354
"119","B._subtilis_strain_K35-1.fna","B._velezensis_strain_SCGB_574.fna",81.1505,677,1354
"120","B._subtilis_strain_K35-1.fna","B._velezensis_strain_Pm9.fna",81.1348,667,1354
"121","B._subtilis_strain_K35-1.fna","B._velezensis_strain_SMU-T0423.fna",81.1157,678,1354
"122","B._subtilis_strain_K35-1.fna","B._velezensis_strain_NJAU-Z9.fna",81.0761,670,1354
"123","B._subtilis_strain_K35-1.fna","B._velezensis_strain_Ag75.fna",80.9988,675,1354
"124","B._subtilis_strain_K35-1.fna","Strain_FO-S2.fna",80.9123,659,1354
"125","B._subtilis_strain_K35-1.fna","B._sonorensis_strain_SRCM101395.fna",79.0247,389,1354
"126","B._subtilis_strain_K35-1.fna","B._paralicheniformis_strain_SUBG0010.fna",78.9774,354,1354
"127","B._subtilis_strain_PK5_52.fna","B._subtilis_strain_PK5_52.fna",100,1356,1362
"128","B._subtilis_strain_PK5_52.fna","B._subtilis_strain_K35-1.fna",98.9222,1310,1362
"129","B._subtilis_strain_PK5_52.fna","B._subtilis_strain_SRCM116301.fna",98.8987,1307,1362
"130","B._subtilis_strain_PK5_52.fna","B._subtilis_strain_4ZT.fna",98.4374,1256,1362
"131","B._subtilis_strain_PK5_52.fna","B._subtilis_strain_YZ-1.fna",98.3843,1297,1362
"132","B._subtilis_strain_PK5_52.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",98.3475,1291,1362
"133","B._subtilis_strain_PK5_52.fna","B._halotolerans_strain_KKD1.fna",87.4411,1218,1362
"134","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_BS-G1.fna",81.2364,659,1362
"135","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_SMU-T0423.fna",81.1873,665,1362
"136","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_DJ4.fna",81.184,668,1362
"137","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_Pm9.fna",81.1447,668,1362
"138","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_NJAU-Z9.fna",81.1145,662,1362
"139","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_SCGB_574.fna",81.0575,685,1362
"140","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_JM199.fna",80.9884,703,1362
"141","B._subtilis_strain_PK5_52.fna","Strain_FO-S2.fna",80.9777,656,1362
"142","B._subtilis_strain_PK5_52.fna","B._velezensis_strain_Ag75.fna",80.9446,678,1362
"143","B._subtilis_strain_PK5_52.fna","B._sonorensis_strain_SRCM101395.fna",79.1709,385,1362
"144","B._subtilis_strain_PK5_52.fna","B._paralicheniformis_strain_SUBG0010.fna",79.1187,336,1362
"145","B._subtilis_strain_SRCM116301.fna","B._subtilis_strain_SRCM116301.fna",100,1391,1391
"146","B._subtilis_strain_SRCM116301.fna","B._subtilis_strain_K35-1.fna",99.2889,1331,1391
"147","B._subtilis_strain_SRCM116301.fna","B._subtilis_strain_PK5_52.fna",98.874,1315,1391
"148","B._subtilis_strain_SRCM116301.fna","B._subtilis_strain_4ZT.fna",98.5505,1262,1391
"149","B._subtilis_strain_SRCM116301.fna","B._subtilis_strain_YZ-1.fna",98.4976,1319,1391
"150","B._subtilis_strain_SRCM116301.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",98.4789,1304,1391
"151","B._subtilis_strain_SRCM116301.fna","B._halotolerans_strain_KKD1.fna",87.443,1182,1391
"152","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_Pm9.fna",81.1425,668,1391
"153","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_BS-G1.fna",81.0696,669,1391
"154","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_JM199.fna",81.0378,677,1391
"155","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_NJAU-Z9.fna",81.0156,673,1391
"156","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_DJ4.fna",80.9881,689,1391
"157","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_SCGB_574.fna",80.9804,701,1391
"158","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_SMU-T0423.fna",80.9477,694,1391
"159","B._subtilis_strain_SRCM116301.fna","Strain_FO-S2.fna",80.8347,658,1391
"160","B._subtilis_strain_SRCM116301.fna","B._velezensis_strain_Ag75.fna",80.7762,693,1391
"161","B._subtilis_strain_SRCM116301.fna","B._paralicheniformis_strain_SUBG0010.fna",79.2255,352,1391
"162","B._subtilis_strain_SRCM116301.fna","B._sonorensis_strain_SRCM101395.fna",79.1236,387,1391
"163","B._subtilis_strain_YZ-1.fna","B._subtilis_strain_YZ-1.fna",100,1423,1427
"164","B._subtilis_strain_YZ-1.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",98.552,1315,1427
"165","B._subtilis_strain_YZ-1.fna","B._subtilis_strain_SRCM116301.fna",98.5117,1319,1427
"166","B._subtilis_strain_YZ-1.fna","B._subtilis_strain_K35-1.fna",98.4356,1304,1427
"167","B._subtilis_strain_YZ-1.fna","B._subtilis_strain_4ZT.fna",98.3707,1298,1427
"168","B._subtilis_strain_YZ-1.fna","B._subtilis_strain_PK5_52.fna",98.3434,1300,1427
"169","B._subtilis_strain_YZ-1.fna","B._halotolerans_strain_KKD1.fna",87.5998,1229,1427
"170","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_BS-G1.fna",81.3876,673,1427
"171","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_JM199.fna",81.3801,683,1427
"172","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_SCGB_574.fna",81.3426,675,1427
"173","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_Pm9.fna",81.3035,676,1427
"174","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_NJAU-Z9.fna",81.2381,669,1427
"175","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_DJ4.fna",81.1525,693,1427
"176","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_Ag75.fna",81.1507,659,1427
"177","B._subtilis_strain_YZ-1.fna","Strain_FO-S2.fna",81.077,668,1427
"178","B._subtilis_strain_YZ-1.fna","B._velezensis_strain_SMU-T0423.fna",81.0723,693,1427
"179","B._subtilis_strain_YZ-1.fna","B._sonorensis_strain_SRCM101395.fna",79.0778,398,1427
"180","B._subtilis_strain_YZ-1.fna","B._paralicheniformis_strain_SUBG0010.fna",78.9811,345,1427
"181","B._toyonensis_strain_Bto-42.fna","B._toyonensis_strain_Bto-42.fna",100,2099,2109
"182","B._toyonensis_strain_Bto-42.fna","B._cereus_strain_PT1.fna",90.984,1490,2109
"183","B._toyonensis_strain_Bto-42.fna","B._paranthracis_strain_KF11.fna",90.7401,1479,2109
"184","B._velezensis_strain_Ag75.fna","B._velezensis_strain_Ag75.fna",100,1324,1326
"185","B._velezensis_strain_Ag75.fna","B._velezensis_strain_JM199.fna",98.4391,1259,1326
"186","B._velezensis_strain_Ag75.fna","B._velezensis_strain_SCGB_574.fna",98.1482,1251,1326
"187","B._velezensis_strain_Ag75.fna","B._velezensis_strain_BS-G1.fna",98.0686,1245,1326
"188","B._velezensis_strain_Ag75.fna","Strain_FO-S2.fna",98.0233,1242,1326
"189","B._velezensis_strain_Ag75.fna","B._velezensis_strain_NJAU-Z9.fna",97.5506,1241,1326
"190","B._velezensis_strain_Ag75.fna","B._velezensis_strain_Pm9.fna",97.5477,1242,1326
"191","B._velezensis_strain_Ag75.fna","B._velezensis_strain_SMU-T0423.fna",97.5291,1241,1326
"192","B._velezensis_strain_Ag75.fna","B._velezensis_strain_DJ4.fna",97.4586,1251,1326
"193","B._velezensis_strain_Ag75.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.2005,664,1326
"194","B._velezensis_strain_Ag75.fna","B._subtilis_strain_YZ-1.fna",81.1674,678,1326
"195","B._velezensis_strain_Ag75.fna","B._subtilis_strain_4ZT.fna",81.0926,665,1326
"196","B._velezensis_strain_Ag75.fna","B._subtilis_strain_K35-1.fna",81.0836,673,1326
"197","B._velezensis_strain_Ag75.fna","B._subtilis_strain_PK5_52.fna",81.0485,678,1326
"198","B._velezensis_strain_Ag75.fna","B._subtilis_strain_SRCM116301.fna",81.0101,669,1326
"199","B._velezensis_strain_Ag75.fna","B._halotolerans_strain_KKD1.fna",80.922,737,1326
"200","B._velezensis_strain_Ag75.fna","B._sonorensis_strain_SRCM101395.fna",78.727,341,1326
"201","B._velezensis_strain_Ag75.fna","B._paralicheniformis_strain_SUBG0010.fna",78.6454,353,1326
"202","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_BS-G1.fna",100,1308,1309
"203","B._velezensis_strain_BS-G1.fna","Strain_FO-S2.fna",98.6881,1241,1309
"204","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_Ag75.fna",98.0693,1256,1309
"205","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_SCGB_574.fna",98.0443,1256,1309
"206","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_JM199.fna",97.9844,1245,1309
"207","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_DJ4.fna",97.5849,1242,1309
"208","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_SMU-T0423.fna",97.5543,1245,1309
"209","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_NJAU-Z9.fna",97.545,1244,1309
"210","B._velezensis_strain_BS-G1.fna","B._velezensis_strain_Pm9.fna",97.5395,1237,1309
"211","B._velezensis_strain_BS-G1.fna","B._subtilis_strain_SRCM116301.fna",81.2918,650,1309
"212","B._velezensis_strain_BS-G1.fna","B._subtilis_strain_PK5_52.fna",81.2823,648,1309
"213","B._velezensis_strain_BS-G1.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.2452,639,1309
"214","B._velezensis_strain_BS-G1.fna","B._subtilis_strain_YZ-1.fna",81.2104,681,1309
"215","B._velezensis_strain_BS-G1.fna","B._subtilis_strain_K35-1.fna",81.2024,643,1309
"216","B._velezensis_strain_BS-G1.fna","B._subtilis_strain_4ZT.fna",81.1286,656,1309
"217","B._velezensis_strain_BS-G1.fna","B._halotolerans_strain_KKD1.fna",81.0858,727,1309
"218","B._velezensis_strain_BS-G1.fna","B._paralicheniformis_strain_SUBG0010.fna",78.9585,362,1309
"219","B._velezensis_strain_BS-G1.fna","B._sonorensis_strain_SRCM101395.fna",78.9058,337,1309
"220","B._velezensis_strain_DJ4.fna","B._velezensis_strain_DJ4.fna",100,1335,1338
"221","B._velezensis_strain_DJ4.fna","B._velezensis_strain_NJAU-Z9.fna",99.3578,1258,1338
"222","B._velezensis_strain_DJ4.fna","B._velezensis_strain_Pm9.fna",99.3137,1243,1338
"223","B._velezensis_strain_DJ4.fna","B._velezensis_strain_SMU-T0423.fna",99.2698,1260,1338
"224","B._velezensis_strain_DJ4.fna","B._velezensis_strain_SCGB_574.fna",97.5838,1248,1338
"225","B._velezensis_strain_DJ4.fna","B._velezensis_strain_BS-G1.fna",97.5439,1247,1338
"226","B._velezensis_strain_DJ4.fna","B._velezensis_strain_Ag75.fna",97.4617,1253,1338
"227","B._velezensis_strain_DJ4.fna","B._velezensis_strain_JM199.fna",97.3907,1261,1338
"228","B._velezensis_strain_DJ4.fna","Strain_FO-S2.fna",97.2913,1253,1338
"229","B._velezensis_strain_DJ4.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.2613,668,1338
"230","B._velezensis_strain_DJ4.fna","B._subtilis_strain_YZ-1.fna",81.2276,675,1338
"231","B._velezensis_strain_DJ4.fna","B._subtilis_strain_4ZT.fna",81.2027,694,1338
"232","B._velezensis_strain_DJ4.fna","B._subtilis_strain_K35-1.fna",81.1155,667,1338
"233","B._velezensis_strain_DJ4.fna","B._subtilis_strain_SRCM116301.fna",80.9905,679,1338
"234","B._velezensis_strain_DJ4.fna","B._subtilis_strain_PK5_52.fna",80.983,684,1338
"235","B._velezensis_strain_DJ4.fna","B._halotolerans_strain_KKD1.fna",80.93,733,1338
"236","B._velezensis_strain_DJ4.fna","B._sonorensis_strain_SRCM101395.fna",78.8648,349,1338
"237","B._velezensis_strain_DJ4.fna","B._paralicheniformis_strain_SUBG0010.fna",78.8395,363,1338
"238","B._velezensis_strain_JM199.fna","B._velezensis_strain_JM199.fna",100,1382,1385
"239","B._velezensis_strain_JM199.fna","B._velezensis_strain_Ag75.fna",98.4238,1263,1385
"240","B._velezensis_strain_JM199.fna","B._velezensis_strain_SCGB_574.fna",98.0103,1251,1385
"241","B._velezensis_strain_JM199.fna","B._velezensis_strain_BS-G1.fna",97.9717,1251,1385
"242","B._velezensis_strain_JM199.fna","Strain_FO-S2.fna",97.7265,1292,1385
"243","B._velezensis_strain_JM199.fna","B._velezensis_strain_NJAU-Z9.fna",97.525,1239,1385
"244","B._velezensis_strain_JM199.fna","B._velezensis_strain_SMU-T0423.fna",97.4966,1246,1385
"245","B._velezensis_strain_JM199.fna","B._velezensis_strain_Pm9.fna",97.4885,1237,1385
"246","B._velezensis_strain_JM199.fna","B._velezensis_strain_DJ4.fna",97.2663,1285,1385
"247","B._velezensis_strain_JM199.fna","B._subtilis_strain_YZ-1.fna",81.2059,691,1385
"248","B._velezensis_strain_JM199.fna","B._halotolerans_strain_KKD1.fna",81.1452,740,1385
"249","B._velezensis_strain_JM199.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.0982,672,1385
"250","B._velezensis_strain_JM199.fna","B._subtilis_strain_K35-1.fna",81.0667,699,1385
"251","B._velezensis_strain_JM199.fna","B._subtilis_strain_4ZT.fna",81.0557,699,1385
"252","B._velezensis_strain_JM199.fna","B._subtilis_strain_PK5_52.fna",81.017,691,1385
"253","B._velezensis_strain_JM199.fna","B._subtilis_strain_SRCM116301.fna",80.9647,693,1385
"254","B._velezensis_strain_JM199.fna","B._paralicheniformis_strain_SUBG0010.fna",78.789,363,1385
"255","B._velezensis_strain_JM199.fna","B._sonorensis_strain_SRCM101395.fna",78.7453,355,1385
"256","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_NJAU-Z9.fna",100,1289,1289
"257","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_SMU-T0423.fna",99.4113,1256,1289
"258","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_DJ4.fna",99.3981,1258,1289
"259","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_Pm9.fna",99.3568,1239,1289
"260","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_SCGB_574.fna",97.6337,1246,1289
"261","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_Ag75.fna",97.5818,1237,1289
"262","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_BS-G1.fna",97.5717,1243,1289
"263","B._velezensis_strain_NJAU-Z9.fna","B._velezensis_strain_JM199.fna",97.5114,1243,1289
"264","B._velezensis_strain_NJAU-Z9.fna","Strain_FO-S2.fna",97.4392,1218,1289
"265","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_isolate_NRS6105_NRS6105_1.fna",81.2638,659,1289
"266","B._velezensis_strain_NJAU-Z9.fna","B._subtilis_strain_K35-1.fna",81.2461,667,1289
