gene,model,lnL,kappa,p0,p1,p2,w0,w1,w2,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS,n_positive_sites
ndhJ,M2a,-637.473803,0.0001,0.0,0.0,1.0,0.0,1.0,999.0,0.006328,,,0.00015625,0.0,0
ndhK,M2a,-915.74277,0.67701,1.0,0.0,0.0,0.0,1.0,1.0,0.014739,,,0.0,0.0015,0
pafI,M2a,-693.959041,0.36336,1.0,0.0,0.0,0.06126,1.0,1.0,0.025577,,,0.00015,0.0024375,0
pafII,M2a,-730.00165,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.005881,,,0.0,0.0004125,0
petA,M2a,-1317.269732,0.42019,0.97289,0.0,0.02711,1.0,1.0,999.0,0.024282,,,0.0006187499999999999,3.125e-05,3
petB,M2a,-869.762253,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.015033,,,0.0,0.0011250000000000001,0
petD,M2a,-634.659265,999.0,0.99261,0.0,0.00739,0.0,1.0,280.9773,0.047405,,,0.0011312499999999999,0.00054375,0
psaA,M2a,-3065.526922,4.71816,1.0,0.0,0.0,0.0,1.0,1.0,0.007154,,,0.0,0.0005312499999999999,0
psaB,M2a,-2986.055562,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.008358,,,0.0,0.0006000000000000001,0
psaC,M2a,-318.191014,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
psbA,M2a,-1417.614794,1.82733,1.0,0.0,0.0,0.0,1.0,1.0,0.009517,,,0.0,0.0008437499999999999,0
psbB,M2a,-2053.14814,2.02699,1.0,0.0,0.0,0.0,1.0,1.0,0.010834,,,0.0,0.0009124999999999999,0
psbD,M2a,-1408.091185,999.0,1.0,0.0,0.0,0.0,1.0,58.67975,0.002998,,,0.0,0.00020625,0
psbE,M2a,-328.109604,0.0001,0.99999,1e-05,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
psbH,M2a,-285.662337,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013764,,,0.0,0.00128125,0
psbK,M2a,-229.952235,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
psbZ,M2a,-224.569837,0.0001,0.08378,0.80987,0.10635,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
rbcL,M2a,-1972.866567,1.88579,0.97911,1e-05,0.02088,0.0,1.0,33.59925,0.02255,,,0.00041874999999999996,0.00060625,0
rpl14,M2a,-486.438139,999.0,1.0,0.0,0.0,0.0,1.0,40.97623,0.016862,,,0.0,0.001375,0
rpl2,M2a,-1096.99376,0.0001,0.0,0.0,1.0,0.0,1.0,999.0,0.003793,,,9.375e-05,0.0,0
rpl20,M2a,-485.852902,1.46942,1.0,0.0,0.0,0.98367,1.0,1.0,0.043877,,,0.0009125,0.000925,0
rpl22,M2a,-615.958764,0.0001,0.0,0.0,1.0,0.0,1.0,999.0,0.020083,,,0.00050625,0.0,0
rpl23,M2a,-366.631832,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
rpl32,M2a,-211.924028,1.00691,1.0,0.0,0.0,0.0,1.0,22.36169,0.040268,,,0.0,0.00494375,0
rpl33,M2a,-284.486517,0.92878,1.0,0.0,0.0,0.07338,1.0,1.0,0.060622,,,0.00039375,0.00535,0
rpoA,M2a,-1324.134999,1.25582,0.0,0.0,1.0,1.0,1.0,999.0,0.018353,,,0.00048124999999999996,0.0,6
rpoB,M2a,-4285.155511,1.96401,0.80628,0.13141,0.06232,0.76573,1.0,1.0,0.003851,,,7.5e-05,9.375e-05,0
rpoC1,M2a,-2738.761517,3.1098,0.98897,0.0,0.01103,0.0,1.0,100.48702,0.0076,,,0.00015625,0.00015625,0
rpoC2,M2a,-5738.624218,2.0829,1.0,0.0,0.0,0.25261,1.0,1.0,0.016938,,,0.00019999999999999998,0.00085,0
rps11,M2a,-543.361101,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.016494,,,0.0,0.00154375,0
rps14,M2a,-403.434553,0.0001,0.0,0.0,1.0,0.0,1.0,999.0,0.010042,,,0.00025,0.0,0
rps15,M2a,-343.534518,999.0,1.0,0.0,0.0,0.0,1.0,1.0,0.01041,,,0.0,0.0007625,0
rps16,M2a,-370.26017,5.91006,1.0,0.0,0.0,0.24941,1.0,1.0,0.047006,,,0.0006,0.0024312500000000003,0
rps18,M2a,-408.980037,999.0,1.0,0.0,0.0,0.76624,1.0,1.0,0.030703,,,0.0006000000000000001,0.0007687500000000001,0
rps19,M2a,-359.393897,999.0,0.0,0.0,1.0,0.0,1.0,999.0,0.010884,,,0.0003,0.0,0
rps2,M2a,-937.144588,0.0001,0.0,0.0,1.0,1.0,1.0,999.0,0.004288,,,0.00010625,0.0,0
rps3,M2a,-857.172423,999.0,1.0,0.0,0.0,0.33463,1.0,1.0,0.009491,,,0.0001375,0.0003875,0
rps4,M2a,-808.425298,1.89155,0.99231,0.0,0.00769,0.0,1.0,63.20925,0.014701,,,0.00025,0.0005124999999999999,0
rps7,M2a,-607.220995,29.11452,1.0,0.0,0.0,0.0,1.0,1.0,6.4e-05,,,0.0,0.0,0
rps8,M2a,-535.003214,0.0001,1.0,0.0,0.0,0.0,1.0,1.0,0.013274,,,0.0,0.00156875,0
ycf1,M2a,-7780.480255,0.95735,0.90165,0.0,0.09835,0.0,1.0,8.26035,0.038989,,,0.0007875,0.0009562500000000001,0
