gene,model,lnL,kappa,omega,tree_length,tree_length_dN,tree_length_dS,mean_dN,mean_dS,p0,p1,w0,w1,p2,w2,n_positive_sites,beta_p,beta_q,w_positive
rps18,M0,-408.980037,999.0,0.76624,0.030703,0.0095,0.0124,0.0006000000000000001,0.0007687500000000001,,,,,,,,,,
rps19,M0,-359.393897,999.0,999.0,0.010884,0.0049,0.0,0.0003,0.0,,,,,,,,,,
rps2,M0,-937.144588,0.0001,999.0,0.004288,0.0017,0.0,0.00010625,0.0,,,,,,,,,,
rps3,M0,-857.172423,999.0,0.33463,0.009492,0.0021,0.0063,0.0001375,0.0003875,,,,,,,,,,
rps4,M0,-808.522833,1.66532,0.25007,0.01027,0.0021,0.0085,0.0001375,0.000525,,,,,,,,,,
rps7,M0,-607.221002,2.04797,0.0001,6.4e-05,0.0,0.0001,0.0,0.0,,,,,,,,,,
rps8,M0,-535.003996,0.0001,0.0001,0.013275,0.0,0.0252,0.0,0.0015625,,,,,,,,,,
ycf1,M0,-7788.453625,0.92199,0.7394,0.036555,0.0115,0.0156,0.0007062500000000001,0.0009750000000000001,,,,,,,,,,
atpA,M1a,-2027.119534,0.79438,,0.006273,,,5.625e-05,0.0004125,0.99999,1e-05,0.12645,1.0,,,,,,
atpB,M1a,-1983.694198,999.0,,0.002096,,,0.0,0.00015,0.99999,1e-05,0.0,1.0,,,,,,
atpE,M1a,-531.924904,0.0001,,0.00762,,,0.00015625,0.00015625,1e-05,0.99999,0.12687,1.0,,,,,,
atpH,M1a,-314.844484,999.0,,0.013058,,,0.0,0.00106875,0.99999,1e-05,0.0,1.0,,,,,,
atpI,M1a,-984.692936,1.98618,,0.008333,,,0.000175,0.000175,1e-05,0.99999,0.06405,1.0,,,,,,
ccsA,M1a,-1307.197645,3.65366,,0.023229,,,0.00017500000000000003,0.0014437500000000002,0.99999,1e-05,0.12001,1.0,,,,,,
cemA,M1a,-915.717556,0.0001,,0.013613,,,0.00020625,0.0007125,0.99999,1e-05,0.29898,1.0,,,,,,
clpP1,M1a,-793.26806,1.3319,,0.011608,,,0.0,0.0009625,0.99999,1e-05,0.0,1.0,,,,,,
matK,M1a,-2047.96457,4.27023,,0.02408,,,0.0005,0.000525,0.99999,1e-05,0.94144,1.0,,,,,,
ndhA,M1a,-1455.546592,3.9466,,0.016945,,,0.00030625000000000004,0.0004875,0.99999,1e-05,0.64007,1.0,,,,,,
ndhB,M1a,-2019.198982,1.85028,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.0,1.0,,,,,,
ndhC,M1a,-461.916911,999.0,,0.009606,,,0.0,0.00071875,0.99999,1e-05,0.0,1.0,,,,,,
ndhE,M1a,-383.43833,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.0,1.0,,,,,,
ndhF,M1a,-2902.617358,1.33844,,0.014101,,,0.00024375000000000002,0.0005062500000000001,0.99999,1e-05,0.4763,1.0,,,,,,
ndhG,M1a,-689.958538,0.0001,,0.011581,,,0.0002375,0.0002375,1e-05,0.99999,0.27377,1.0,,,,,,
ndhH,M1a,-1635.721914,1.43265,,0.028079,,,0.00019999999999999998,0.0019375,0.89187,0.10813,0.0,1.0,,,,,,
ndhI,M1a,-706.308707,3.17811,,0.038164,,,0.0004875,0.0018750000000000001,0.7355,0.2645,0.0,1.0,,,,,,
ndhJ,M1a,-637.61773,0.0001,,0.006443,,,0.00013125,0.00013125,0.97167,0.02833,1.0,1.0,,,,,,
ndhK,M1a,-915.742895,0.67702,,0.014739,,,0.0,0.0015,0.99999,1e-05,0.0,1.0,,,,,,
pafI,M1a,-693.95905,0.36336,,0.025577,,,0.00015,0.0024375,0.99999,1e-05,0.06126,1.0,,,,,,
pafII,M1a,-730.001675,999.0,,0.005881,,,0.0,0.0004125,0.99999,1e-05,0.0,1.0,,,,,,
petA,M1a,-1321.537817,0.40483,,0.019004,,,0.00040625000000000004,0.00040625000000000004,0.13713,0.86287,1.0,1.0,,,,,,
petB,M1a,-869.762334,999.0,,0.015032,,,0.0,0.0011250000000000001,0.99999,1e-05,0.0,1.0,,,,,,
petD,M1a,-635.466144,999.0,,0.013087,,,0.000175,0.00055,0.67122,0.32878,0.0,1.0,,,,,,
psaA,M1a,-3065.527058,4.71854,,0.007155,,,0.0,0.0005312499999999999,0.99999,1e-05,0.0,1.0,,,,,,
psaB,M1a,-2986.055704,999.0,,0.008358,,,0.0,0.0006000000000000001,0.99999,1e-05,0.0,1.0,,,,,,
psaC,M1a,-318.191526,1.83536,,6.4e-05,,,0.0,0.0,0.9581,0.0419,0.48902,1.0,,,,,,
psbA,M1a,-1417.614903,1.82743,,0.009516,,,0.0,0.0008437499999999999,0.99999,1e-05,0.0,1.0,,,,,,
psbB,M1a,-2053.148306,2.02713,,0.010834,,,0.0,0.0009124999999999999,0.99999,1e-05,0.0,1.0,,,,,,
psbD,M1a,-1408.091208,999.0,,0.002998,,,0.0,0.00020625,0.99999,1e-05,0.0,1.0,,,,,,
psbE,M1a,-328.110068,1.98087,,6.4e-05,,,0.0,0.0,0.96504,0.03496,0.22633,1.0,,,,,,
psbH,M1a,-285.662369,999.0,,0.013764,,,0.0,0.00128125,0.99999,1e-05,0.0,1.0,,,,,,
psbK,M1a,-229.952235,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.0,1.0,,,,,,
psbZ,M1a,-224.569856,1.52804,,6.4e-05,,,0.0,0.0,0.00022,0.99978,1.0,1.0,,,,,,
rbcL,M1a,-1977.492599,1.64204,,0.021836,,,0.00030000000000000003,0.0010125,0.71606,0.28394,0.0,1.0,,,,,,
rpl14,M1a,-486.438196,999.0,,0.016862,,,0.0,0.001375,0.99999,1e-05,0.0,1.0,,,,,,
rpl2,M1a,-1097.210461,0.0001,,0.003761,,,7.5e-05,7.5e-05,0.84009,0.15991,1.0,1.0,,,,,,
rpl20,M1a,-485.853009,1.47099,,0.043881,,,0.0009125,0.0009125,1e-05,0.99999,0.03506,1.0,,,,,,
rpl22,M1a,-616.473198,0.0001,,0.020291,,,0.00041875000000000007,0.00041875000000000007,1e-05,0.99999,0.3777,1.0,,,,,,
rpl23,M1a,-366.632096,1.99517,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.19965,1.0,,,,,,
rpl32,M1a,-211.92412,1.00695,,0.040268,,,0.0,0.00494375,0.99999,1e-05,0.0,1.0,,,,,,
rpl33,M1a,-284.486521,0.92879,,0.060622,,,0.00039375,0.00535,0.99999,1e-05,0.07337,1.0,,,,,,
rpoA,M1a,-1325.279836,1.04561,,0.018608,,,0.00038125,0.00038125,1e-05,0.99999,0.20482,1.0,,,,,,
rpoB,M1a,-4285.155632,1.96409,,0.003851,,,7.5e-05,9.375e-05,0.37805,0.62195,0.50174,1.0,,,,,,
rpoC1,M1a,-2742.040351,2.73401,,0.007569,,,0.000125,0.00028125,0.59478,0.40522,0.0,1.0,,,,,,
rpoC2,M1a,-5738.624221,2.08324,,0.016938,,,0.00019999999999999998,0.00085,0.99999,1e-05,0.25263,1.0,,,,,,
rps11,M1a,-543.361179,999.0,,0.016495,,,0.0,0.00154375,0.99999,1e-05,0.0,1.0,,,,,,
rps14,M1a,-403.587711,0.0001,,0.010276,,,0.0002125,0.0002125,1e-05,0.99999,1.0,1.0,,,,,,
rps15,M1a,-343.534542,999.0,,0.010411,,,0.0,0.0007625,0.99999,1e-05,0.0,1.0,,,,,,
rps16,M1a,-370.260172,5.91007,,0.047007,,,0.0006,0.0024312500000000003,0.99999,1e-05,0.2494,1.0,,,,,,
rps18,M1a,-408.980037,999.0,,0.030703,,,0.0006000000000000001,0.0007687500000000001,0.99999,1e-05,0.76623,1.0,,,,,,
rps19,M1a,-359.658202,999.0,,0.011162,,,0.00023125,0.00023125,1e-05,0.99999,0.02881,1.0,,,,,,
rps2,M1a,-937.30997,0.0001,,0.004365,,,8.75e-05,8.75e-05,1e-05,0.99999,1.0,1.0,,,,,,
rps3,M1a,-857.172424,999.0,,0.009492,,,0.0001375,0.0003875,0.99999,1e-05,0.33463,1.0,,,,,,
rps4,M1a,-808.520315,1.63306,,0.010337,,,0.0001375,0.00053125,0.75056,0.24944,0.0,1.0,,,,,,
rps7,M1a,-607.221002,1.97166,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.0,1.0,,,,,,
rps8,M1a,-535.00329,0.0001,,0.013274,,,0.0,0.00156875,0.99999,1e-05,0.0,1.0,,,,,,
ycf1,M1a,-7786.157139,0.84223,,0.037093,,,0.0006687500000000001,0.0013187500000000003,0.4957,0.5043,0.0,1.0,,,,,,
atpA,M2a,-2027.119534,0.79442,,0.006273,,,5.625e-05,0.0004125,1.0,0.0,0.12646,1.0,0.0,1.0,0.0,,,
atpB,M2a,-1983.694174,999.0,,0.002096,,,0.0,0.00015,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
atpE,M2a,-531.71415,0.0001,,0.007422,,,0.00019375,0.0,1e-05,0.0,0.0,1.0,0.99999,999.0,0.0,,,
atpH,M2a,-314.844455,999.0,,0.013058,,,0.0,0.00106875,1.0,0.0,0.0,1.0,0.0,52.14357,0.0,,,
atpI,M2a,-984.169636,2.26898,,0.008201,,,0.000225,0.0,0.0,0.0,0.0,1.0,1.0,61.88944,0.0,,,
ccsA,M2a,-1307.197642,3.65377,,0.02323,,,0.00017500000000000003,0.0014437500000000002,1.0,0.0,0.12002,1.0,0.0,1.0,0.0,,,
cemA,M2a,-915.717555,0.0001,,0.013612,,,0.00020625,0.0007125,1.0,0.0,0.299,1.0,0.0,1.0,0.0,,,
clpP1,M2a,-793.267993,1.33186,,0.011608,,,0.0,0.0009625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
matK,M2a,-2047.96457,4.26982,,0.02408,,,0.0005,0.000525,0.99995,0.0,0.94141,1.0,5e-05,1.0,0.0,,,
ndhA,M2a,-1455.546592,3.94645,,0.016945,,,0.00030625000000000004,0.0004875,1.0,0.0,0.64005,1.0,0.0,1.0,0.0,,,
ndhB,M2a,-2019.197499,0.0001,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
ndhC,M2a,-461.916881,999.0,,0.009606,,,0.0,0.00071875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
ndhE,M2a,-383.43833,0.0001,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
ndhF,M2a,-2902.617358,1.33932,,0.014102,,,0.00024375000000000002,0.0005062500000000001,1.0,0.0,0.47635,1.0,0.0,1.0,0.0,,,
ndhG,M2a,-689.559708,0.0001,,0.011388,,,0.0002875,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,,,
ndhH,M2a,-1634.675158,1.51365,,0.027313,,,0.00025624999999999997,0.0016875000000000002,0.97821,0.0,0.0,1.0,0.02179,6.99457,0.0,,,
ndhI,M2a,-706.213178,3.34655,,0.045863,,,0.0007062500000000001,0.0018375,0.96335,0.0,0.0,1.0,0.03665,10.45716,0.0,,,
ndhJ,M2a,-637.473803,0.0001,,0.006328,,,0.00015625,0.0,0.0,0.0,0.0,1.0,1.0,999.0,0.0,,,
ndhK,M2a,-915.74277,0.67701,,0.014739,,,0.0,0.0015,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
pafI,M2a,-693.959041,0.36336,,0.025577,,,0.00015,0.0024375,1.0,0.0,0.06126,1.0,0.0,1.0,0.0,,,
pafII,M2a,-730.00165,999.0,,0.005881,,,0.0,0.0004125,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
petA,M2a,-1317.269732,0.42019,,0.024282,,,0.0006187499999999999,3.125e-05,0.97289,0.0,1.0,1.0,0.02711,999.0,3.0,,,
petB,M2a,-869.762253,999.0,,0.015033,,,0.0,0.0011250000000000001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
petD,M2a,-634.659265,999.0,,0.047405,,,0.0011312499999999999,0.00054375,0.99261,0.0,0.0,1.0,0.00739,280.9773,0.0,,,
psaA,M2a,-3065.526922,4.71816,,0.007154,,,0.0,0.0005312499999999999,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psaB,M2a,-2986.055562,999.0,,0.008358,,,0.0,0.0006000000000000001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psaC,M2a,-318.191014,0.0001,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psbA,M2a,-1417.614794,1.82733,,0.009517,,,0.0,0.0008437499999999999,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psbB,M2a,-2053.14814,2.02699,,0.010834,,,0.0,0.0009124999999999999,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psbD,M2a,-1408.091185,999.0,,0.002998,,,0.0,0.00020625,1.0,0.0,0.0,1.0,0.0,58.67975,0.0,,,
psbE,M2a,-328.109604,0.0001,,6.4e-05,,,0.0,0.0,0.99999,1e-05,0.0,1.0,0.0,1.0,0.0,,,
psbH,M2a,-285.662337,999.0,,0.013764,,,0.0,0.00128125,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psbK,M2a,-229.952235,0.0001,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
psbZ,M2a,-224.569837,0.0001,,6.4e-05,,,0.0,0.0,0.08378,0.80987,0.0,1.0,0.10635,1.0,0.0,,,
rbcL,M2a,-1972.866567,1.88579,,0.02255,,,0.00041874999999999996,0.00060625,0.97911,1e-05,0.0,1.0,0.02088,33.59925,0.0,,,
rpl14,M2a,-486.438139,999.0,,0.016862,,,0.0,0.001375,1.0,0.0,0.0,1.0,0.0,40.97623,0.0,,,
rpl2,M2a,-1096.99376,0.0001,,0.003793,,,9.375e-05,0.0,0.0,0.0,0.0,1.0,1.0,999.0,0.0,,,
rpl20,M2a,-485.852902,1.46942,,0.043877,,,0.0009125,0.000925,1.0,0.0,0.98367,1.0,0.0,1.0,0.0,,,
rpl22,M2a,-615.958764,0.0001,,0.020083,,,0.00050625,0.0,0.0,0.0,0.0,1.0,1.0,999.0,0.0,,,
rpl23,M2a,-366.631832,0.0001,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
rpl32,M2a,-211.924028,1.00691,,0.040268,,,0.0,0.00494375,1.0,0.0,0.0,1.0,0.0,22.36169,0.0,,,
rpl33,M2a,-284.486517,0.92878,,0.060622,,,0.00039375,0.00535,1.0,0.0,0.07338,1.0,0.0,1.0,0.0,,,
rpoA,M2a,-1324.134999,1.25582,,0.018353,,,0.00048124999999999996,0.0,0.0,0.0,1.0,1.0,1.0,999.0,6.0,,,
rpoB,M2a,-4285.155511,1.96401,,0.003851,,,7.5e-05,9.375e-05,0.80628,0.13141,0.76573,1.0,0.06232,1.0,0.0,,,
rpoC1,M2a,-2738.761517,3.1098,,0.0076,,,0.00015625,0.00015625,0.98897,0.0,0.0,1.0,0.01103,100.48702,0.0,,,
rpoC2,M2a,-5738.624218,2.0829,,0.016938,,,0.00019999999999999998,0.00085,1.0,0.0,0.25261,1.0,0.0,1.0,0.0,,,
rps11,M2a,-543.361101,999.0,,0.016494,,,0.0,0.00154375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
rps14,M2a,-403.434553,0.0001,,0.010042,,,0.00025,0.0,0.0,0.0,0.0,1.0,1.0,999.0,0.0,,,
rps15,M2a,-343.534518,999.0,,0.01041,,,0.0,0.0007625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
rps16,M2a,-370.26017,5.91006,,0.047006,,,0.0006,0.0024312500000000003,1.0,0.0,0.24941,1.0,0.0,1.0,0.0,,,
rps18,M2a,-408.980037,999.0,,0.030703,,,0.0006000000000000001,0.0007687500000000001,1.0,0.0,0.76624,1.0,0.0,1.0,0.0,,,
rps19,M2a,-359.393897,999.0,,0.010884,,,0.0003,0.0,0.0,0.0,0.0,1.0,1.0,999.0,0.0,,,
rps2,M2a,-937.144588,0.0001,,0.004288,,,0.00010625,0.0,0.0,0.0,1.0,1.0,1.0,999.0,0.0,,,
rps3,M2a,-857.172423,999.0,,0.009491,,,0.0001375,0.0003875,1.0,0.0,0.33463,1.0,0.0,1.0,0.0,,,
rps4,M2a,-808.425298,1.89155,,0.014701,,,0.00025,0.0005124999999999999,0.99231,0.0,0.0,1.0,0.00769,63.20925,0.0,,,
rps7,M2a,-607.220995,29.11452,,6.4e-05,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
rps8,M2a,-535.003214,0.0001,,0.013274,,,0.0,0.00156875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
ycf1,M2a,-7780.480255,0.95735,,0.038989,,,0.0007875,0.0009562500000000001,0.90165,0.0,0.0,1.0,0.09835,8.26035,0.0,,,
atpA,M7,-2027.119557,0.79445,,0.006274,,,5.625e-05,0.0004125,,,,,,,,3.50208,23.91383,
atpB,M7,-1983.694172,999.0,,0.002096,,,0.0,0.00015,,,,,,,,0.005,1.16876,
atpE,M7,-531.924903,0.0001,,0.00762,,,0.00015625,0.00015625,,,,,,,,3.92392,0.005,
atpH,M7,-314.844452,999.0,,0.013059,,,0.0,0.00106875,,,,,,,,0.005,19.45355,
atpI,M7,-984.758739,1.95845,,0.008349,,,0.0001625,0.0001875,,,,,,,,0.03108,0.005,
ccsA,M7,-1307.197932,3.65406,,0.023228,,,0.00017500000000000003,0.0014437500000000002,,,,,,,,13.55063,99.0,
cemA,M7,-915.717746,0.0001,,0.013612,,,0.00020625,0.0007125,,,,,,,,42.28447,99.0,
clpP1,M7,-793.267988,1.33188,,0.011609,,,0.0,0.0009625,,,,,,,,0.005,1.19818,
matK,M7,-2047.964649,4.27454,,0.024078,,,0.0005,0.000525,,,,,,,,99.0,5.58263,
ndhA,M7,-1455.546739,3.94065,,0.016942,,,0.00030625000000000004,0.0004875,,,,,,,,99.0,57.39132,
ndhB,M7,-2019.197499,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,47.44588,
ndhC,M7,-461.916878,999.0,,0.009606,,,0.0,0.00071875,,,,,,,,0.005,25.48575,
ndhE,M7,-383.43833,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,9.01166,
ndhF,M7,-2902.617384,1.33933,,0.014095,,,0.00024375000000000002,0.0005062500000000001,,,,,,,,90.08698,99.0,
ndhG,M7,-689.95852,0.0001,,0.011538,,,0.0002375,0.0002375,,,,,,,,15.03621,0.005,
ndhH,M7,-1635.744504,1.46433,,0.027994,,,0.00023750000000000003,0.0018312499999999998,,,,,,,,0.005,0.03867,
ndhI,M7,-706.309714,3.16787,,0.038136,,,0.0004875,0.0018750000000000001,,,,,,,,0.01533,0.0379,
ndhJ,M7,-637.636949,0.0001,,0.006459,,,0.00013125,0.00015,,,,,,,,0.03537,0.005,
ndhK,M7,-915.742758,0.67703,,0.014738,,,0.0,0.0015,,,,,,,,0.005,3.90616,
pafI,M7,-693.959531,0.36338,,0.025577,,,0.00015,0.0024375,,,,,,,,6.50876,99.0,
pafII,M7,-730.001648,999.0,,0.005881,,,0.0,0.0004125,,,,,,,,0.005,98.60125,
petA,M7,-1321.53782,0.40482,,0.019004,,,0.00040625000000000004,0.00040625000000000004,,,,,,,,0.36548,0.005,
petB,M7,-869.762245,999.0,,0.015032,,,0.0,0.0011250000000000001,,,,,,,,0.005,99.0,
petD,M7,-635.467129,999.0,,0.013072,,,0.0001875,0.00055,,,,,,,,0.02231,0.04701,
psaA,M7,-3065.52691,4.71963,,0.007155,,,0.0,0.0005312499999999999,,,,,,,,0.005,2.24211,
psaB,M7,-2986.055548,999.0,,0.008358,,,0.0,0.0006000000000000001,,,,,,,,0.005,12.48039,
psaC,M7,-318.191014,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,2.10229,
psbA,M7,-1417.614788,1.82716,,0.009516,,,0.0,0.0008437499999999999,,,,,,,,0.005,0.76197,
psbB,M7,-2053.148125,2.02704,,0.010835,,,0.0,0.0009124999999999999,,,,,,,,0.005,1.7053,
psbD,M7,-1408.09267,418.44905,,0.002998,,,0.0,0.00020625,,,,,,,,0.005,99.0,
psbE,M7,-328.109604,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,1.56166,
psbH,M7,-285.662334,999.0,,0.013764,,,0.0,0.00128125,,,,,,,,0.005,41.77466,
psbK,M7,-229.952235,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,45.34176,
psbZ,M7,-224.56948,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,0.005,72.66813,
rbcL,M7,-1977.588748,1.72423,,0.021743,,,0.000325,0.000875,,,,,,,,0.005,0.00796,
rpl14,M7,-486.438135,999.0,,0.016862,,,0.0,0.001375,,,,,,,,0.005,0.83188,
rpl2,M7,-1097.238189,0.0001,,0.003758,,,7.5e-05,8.75e-05,,,,,,,,0.04126,0.005,
rpl20,M7,-485.863644,1.45815,,0.043915,,,0.0008875,0.0010125,,,,,,,,0.03493,0.005,
rpl22,M7,-616.473195,0.0001,,0.02029,,,0.00041875000000000007,0.00041875000000000007,,,,,,,,11.59983,0.005,
rpl23,M7,-366.631977,0.0001,,6.4e-05,,,0.0,0.0,,,,,,,,10.05328,99.0,
rpl32,M7,-211.924017,1.00691,,0.040268,,,0.0,0.00494375,,,,,,,,0.005,99.0,
rpl33,M7,-284.486725,0.92883,,0.060634,,,0.00039375,0.00535,,,,,,,,7.89342,99.0,
rpoA,M7,-1325.279828,1.04554,,0.018608,,,0.00038125,0.00038125,,,,,,,,5.25218,0.005,
rpoB,M7,-4285.170939,2.02367,,0.003843,,,7.5e-05,7.5e-05,,,,,,,,0.63601,0.005,
