"","gene","lnL_M0","lnL_M1a","lnL_M2a","lnL_M7","lnL_M8","LRT_M1a_M2a","p_M1a_M2a","sig_M1a_M2a","LRT_M7_M8","p_M7_M8","sig_M7_M8","pos_sel_both"
"23","petB",-869.763073,-869.762334,-869.762253,-869.762245,-869.762325,0.000162000000045737,0.999919003280389,FALSE,-0.000160000000050786,1,FALSE,FALSE
"24","petD",-635.473684,-635.466144,-634.659265,-635.467129,-634.659263,1.61375799999996,0.446248637104738,FALSE,1.61573199999998,0.445808406989212,FALSE,FALSE
"25","psaA",-3065.52828,-3065.527058,-3065.526922,-3065.52691,-3065.527183,0.000272000000222761,0.999864009247469,FALSE,-0.000546000000213098,1,FALSE,FALSE
"26","psaB",-2986.056982,-2986.055704,-2986.055562,-2986.055548,-2986.076456,0.000283999999737716,0.999858010081654,FALSE,-0.0418159999999261,1,FALSE,FALSE
"27","psaC",-318.191472,-318.191526,-318.191014,-318.191014,-318.191014,0.00102400000002945,0.999488131049618,FALSE,0,1,FALSE,FALSE
"28","psbA",-1417.615894,-1417.614903,-1417.614794,-1417.614788,-1417.614892,0.000217999999676977,0.999891005940446,FALSE,-0.000207999999929598,1,FALSE,FALSE
"29","psbB",-2053.149822,-2053.148306,-2053.14814,-2053.148125,-2053.148292,0.000332000000526023,0.999834013776975,FALSE,-0.000333999999384105,1,FALSE,FALSE
"30","psbD",-1408.091415,-1408.091208,-1408.091185,-1408.09267,-1408.091205,4.60000001112348e-05,0.999977000264442,FALSE,0.00293000000010579,0.998536072588602,FALSE,FALSE
"31","psbE",-328.109604,-328.110068,-328.109604,-328.109604,-328.109604,0.000928000000044449,0.99953610763133,FALSE,0,1,FALSE,FALSE
"32","psbH",-285.662664,-285.662369,-285.662337,-285.662334,-285.662828,6.40000000657892e-05,0.999968000511962,FALSE,-0.00098800000000665,1,FALSE,FALSE
"33","psbK",-229.952236,-229.952235,-229.952235,-229.952235,-229.953214,0,1,FALSE,-0.0019580000000019,1,FALSE,FALSE
"34","psbZ",-224.569823,-224.569856,-224.569837,-224.56948,-224.569753,3.79999999609026e-05,0.999981000180518,FALSE,-0.000545999999985725,1,FALSE,FALSE
"35","rbcL",-1979.176433,-1977.492599,-1972.866567,-1977.588748,-1972.866552,9.25206399999979,0.00979354288259442,TRUE,9.44439199999988,0.00889562229697086,TRUE,TRUE
"36","rpl14",-486.438731,-486.438196,-486.438139,-486.438135,-486.43819,0.000114000000053238,0.999943001624442,FALSE,-0.000110000000063337,1,FALSE,FALSE
"37","rpl2",-1096.99376,-1097.210461,-1096.99376,-1097.238189,-1096.99376,0.43340199999966,0.805170679350319,FALSE,0.488857999999709,0.783151590154493,FALSE,FALSE
"38","rpl20",-485.852902,-485.853009,-485.852902,-485.863644,-485.852907,0.000214000000028136,0.999893005724282,FALSE,0.021474000000012,0.989320435837835,FALSE,FALSE
"39","rpl22",-615.958764,-616.473198,-615.958764,-616.473195,-615.958764,1.0288680000001,0.59783887567927,FALSE,1.02886200000012,0.597840669198583,FALSE,FALSE
"40","rpl23",-366.631872,-366.632096,-366.631832,-366.631977,-366.632212,0.00052800000003117,0.999736034844918,FALSE,-0.000469999999950232,1,FALSE,FALSE
"41","rpl32",-211.925063,-211.92412,-211.924028,-211.924017,-211.924109,0.000183999999990192,0.999908004231875,FALSE,-0.000183999999990192,1,FALSE,FALSE
"42","rpl33",-284.486517,-284.486521,-284.486517,-284.486725,-284.48704,7.99999997980194e-06,0.99999600000801,FALSE,-0.000630000000001019,1,FALSE,FALSE
"43","rpoA",-1324.135,-1325.279836,-1324.134999,-1325.279828,-1324.135,2.28967399999965,0.31827579251675,FALSE,2.28965599999992,0.318278657011729,FALSE,FALSE
"44","rpoB",-4285.15549,-4285.155632,-4285.155511,-4285.170939,-4285.155933,0.00024200000007113,0.999879007320169,FALSE,0.0300119999992603,0.985106028949521,FALSE,FALSE
"45","rpoC1",-2742.478446,-2742.040351,-2738.761517,-2742.043892,-2738.761517,6.55766800000038,0.037672156943412,TRUE,6.56475000000046,0.0375389957367291,TRUE,TRUE
"46","rpoC2",-5738.624217,-5738.624221,-5738.624218,-5738.62499,-5738.625166,6.00000021222513e-06,0.999997000004394,FALSE,-0.000351999999111285,1,FALSE,FALSE
"47","rps11",-543.361906,-543.361179,-543.361101,-543.541161,-543.361658,0.000156000000060885,0.99992200304189,FALSE,0.359005999999908,0.835685443883104,FALSE,FALSE
"48","rps14",-403.434553,-403.587711,-403.434553,-403.587711,-403.434553,0.306316000000038,0.857994148025942,FALSE,0.306316000000038,0.857994148025942,FALSE,FALSE
"49","rps15",-343.534755,-343.534542,-343.534518,-343.534516,-343.53454,4.79999999924985e-05,0.999976000288001,FALSE,-4.79999999924985e-05,1,FALSE,FALSE
"50","rps16",-370.26017,-370.260172,-370.26017,-370.260546,-370.260548,3.99999998990097e-06,0.999998000002005,FALSE,-3.99999998990097e-06,1,FALSE,FALSE
"51","rps18",-408.980037,-408.980037,-408.980037,-408.980097,-408.980098,0,1,FALSE,-1.99999999495049e-06,1,FALSE,FALSE
"52","rps19",-359.393897,-359.658202,-359.393897,-359.6582,-359.393897,0.528610000000072,0.767739343443821,FALSE,0.528606000000082,0.76774087892404,FALSE,FALSE
"53","rps2",-937.144588,-937.30997,-937.144588,-937.398712,-937.144588,0.330764000000045,0.847569870549079,FALSE,0.508248000000094,0.775595622226258,FALSE,FALSE
"54","rps3",-857.172423,-857.172424,-857.172423,-857.172454,-857.177673,1.99999999495049e-06,0.999999000000503,FALSE,-0.0104380000000219,1,FALSE,FALSE
"55","rps4",-808.522833,-808.520315,-808.425298,-808.520226,-808.425297,0.190033999999969,0.909357475259763,FALSE,0.189857999999958,0.909437502238726,FALSE,FALSE
"56","rps7",-607.221002,-607.221002,-607.220995,-607.221002,-607.220999,1.39999999646534e-05,0.999993000024518,FALSE,5.99999998485146e-06,0.999997000004508,FALSE,FALSE
"57","rps8",-535.003996,-535.00329,-535.003214,-535.003206,-535.003283,0.000152000000070984,0.999924002887891,FALSE,-0.000154000000065935,1,FALSE,FALSE
"58","ycf1",-7788.453625,-7786.157139,-7780.480255,-7786.446968,-7780.480255,11.353767999999,0.00342421168063055,TRUE,11.9334259999996,0.00256265102415211,TRUE,TRUE
