"","model_test","gene","p_M1a_M2a","sig_M1a_M2a","sig_M7_M8","pos_sel_both","model","lnL","stat_test","stat_value"
"55","M7","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M7",-314.844452,"LRT_M1a_M2a",5.80000000809378e-05
"56","M7","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M7",-314.844452,"LRT_M7_M8",-5.79999999672509e-05
"57","M7","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M7",-314.844452,"p_M7_M8",1
"58","M8","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M8",-314.844481,"LRT_M1a_M2a",5.80000000809378e-05
"59","M8","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M8",-314.844481,"LRT_M7_M8",-5.79999999672509e-05
"60","M8","atpH",0.999971000420456,FALSE,FALSE,FALSE,"lnL_M8",-314.844481,"p_M7_M8",1
"61","M0","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M0",-984.160306,"LRT_M1a_M2a",1.04660000000013
"62","M0","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M0",-984.160306,"LRT_M7_M8",1.19666800000005
"63","M0","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M0",-984.160306,"p_M7_M8",0.549726718331595
"64","M1a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M1a",-984.692936,"LRT_M1a_M2a",1.04660000000013
"65","M1a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M1a",-984.692936,"LRT_M7_M8",1.19666800000005
"66","M1a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M1a",-984.692936,"p_M7_M8",0.549726718331595
"67","M2a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M2a",-984.169636,"LRT_M1a_M2a",1.04660000000013
"68","M2a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M2a",-984.169636,"LRT_M7_M8",1.19666800000005
"69","M2a","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M2a",-984.169636,"p_M7_M8",0.549726718331595
"70","M7","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M7",-984.758739,"LRT_M1a_M2a",1.04660000000013
"71","M7","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M7",-984.758739,"LRT_M7_M8",1.19666800000005
"72","M7","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M7",-984.758739,"p_M7_M8",0.549726718331595
"73","M8","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M8",-984.160405,"LRT_M1a_M2a",1.04660000000013
"74","M8","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M8",-984.160405,"LRT_M7_M8",1.19666800000005
"75","M8","atpI",0.592561863768294,FALSE,FALSE,FALSE,"lnL_M8",-984.160405,"p_M7_M8",0.549726718331595
"76","M0","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M0",-1307.197642,"LRT_M1a_M2a",5.99999975747778e-06
"77","M0","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M0",-1307.197642,"LRT_M7_M8",-0.00106000000005224
"78","M0","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M0",-1307.197642,"p_M7_M8",1
"79","M1a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M1a",-1307.197645,"LRT_M1a_M2a",5.99999975747778e-06
"80","M1a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M1a",-1307.197645,"LRT_M7_M8",-0.00106000000005224
"81","M1a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M1a",-1307.197645,"p_M7_M8",1
"82","M2a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M2a",-1307.197642,"LRT_M1a_M2a",5.99999975747778e-06
"83","M2a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M2a",-1307.197642,"LRT_M7_M8",-0.00106000000005224
"84","M2a","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M2a",-1307.197642,"p_M7_M8",1
"85","M7","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M7",-1307.197932,"LRT_M1a_M2a",5.99999975747778e-06
"86","M7","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M7",-1307.197932,"LRT_M7_M8",-0.00106000000005224
"87","M7","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M7",-1307.197932,"p_M7_M8",1
"88","M8","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M8",-1307.198462,"LRT_M1a_M2a",5.99999975747778e-06
"89","M8","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M8",-1307.198462,"LRT_M7_M8",-0.00106000000005224
"90","M8","ccsA",0.999997000004621,FALSE,FALSE,FALSE,"lnL_M8",-1307.198462,"p_M7_M8",1
"91","M0","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M0",-915.717555,"LRT_M1a_M2a",1.99999999495049e-06
"92","M0","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M0",-915.717555,"LRT_M7_M8",-1.99999999495049e-06
"93","M0","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M0",-915.717555,"p_M7_M8",1
"94","M1a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M1a",-915.717556,"LRT_M1a_M2a",1.99999999495049e-06
"95","M1a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M1a",-915.717556,"LRT_M7_M8",-1.99999999495049e-06
"96","M1a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M1a",-915.717556,"p_M7_M8",1
"97","M2a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M2a",-915.717555,"LRT_M1a_M2a",1.99999999495049e-06
"98","M2a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M2a",-915.717555,"LRT_M7_M8",-1.99999999495049e-06
"99","M2a","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M2a",-915.717555,"p_M7_M8",1
"100","M7","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M7",-915.717746,"LRT_M1a_M2a",1.99999999495049e-06
"101","M7","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M7",-915.717746,"LRT_M7_M8",-1.99999999495049e-06
"102","M7","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M7",-915.717746,"p_M7_M8",1
"103","M8","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M8",-915.717747,"LRT_M1a_M2a",1.99999999495049e-06
"104","M8","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M8",-915.717747,"LRT_M7_M8",-1.99999999495049e-06
"105","M8","cemA",0.999999000000503,FALSE,FALSE,FALSE,"lnL_M8",-915.717747,"p_M7_M8",1
"106","M0","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M0",-793.268672,"LRT_M1a_M2a",0.000133999999889056
"107","M0","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M0",-793.268672,"LRT_M7_M8",-0.000130000000126529
"108","M0","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M0",-793.268672,"p_M7_M8",1
"109","M1a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M1a",-793.26806,"LRT_M1a_M2a",0.000133999999889056
"110","M1a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M1a",-793.26806,"LRT_M7_M8",-0.000130000000126529
"111","M1a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M1a",-793.26806,"p_M7_M8",1
"112","M2a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M2a",-793.267993,"LRT_M1a_M2a",0.000133999999889056
"113","M2a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M2a",-793.267993,"LRT_M7_M8",-0.000130000000126529
"114","M2a","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M2a",-793.267993,"p_M7_M8",1
"115","M7","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M7",-793.267988,"LRT_M1a_M2a",0.000133999999889056
"116","M7","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M7",-793.267988,"LRT_M7_M8",-0.000130000000126529
"117","M7","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M7",-793.267988,"p_M7_M8",1
"118","M8","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M8",-793.268053,"LRT_M1a_M2a",0.000133999999889056
"119","M8","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M8",-793.268053,"LRT_M7_M8",-0.000130000000126529
"120","M8","clpP1",0.999933002244505,FALSE,FALSE,FALSE,"lnL_M8",-793.268053,"p_M7_M8",1
"121","M0","matK",1,FALSE,FALSE,FALSE,"lnL_M0",-2047.96457,"LRT_M1a_M2a",0
"122","M0","matK",1,FALSE,FALSE,FALSE,"lnL_M0",-2047.96457,"LRT_M7_M8",-0.00709999999980937
"123","M0","matK",1,FALSE,FALSE,FALSE,"lnL_M0",-2047.96457,"p_M7_M8",1
"124","M1a","matK",1,FALSE,FALSE,FALSE,"lnL_M1a",-2047.96457,"LRT_M1a_M2a",0
"125","M1a","matK",1,FALSE,FALSE,FALSE,"lnL_M1a",-2047.96457,"LRT_M7_M8",-0.00709999999980937
"126","M1a","matK",1,FALSE,FALSE,FALSE,"lnL_M1a",-2047.96457,"p_M7_M8",1
"127","M2a","matK",1,FALSE,FALSE,FALSE,"lnL_M2a",-2047.96457,"LRT_M1a_M2a",0
"128","M2a","matK",1,FALSE,FALSE,FALSE,"lnL_M2a",-2047.96457,"LRT_M7_M8",-0.00709999999980937
"129","M2a","matK",1,FALSE,FALSE,FALSE,"lnL_M2a",-2047.96457,"p_M7_M8",1
"130","M7","matK",1,FALSE,FALSE,FALSE,"lnL_M7",-2047.964649,"LRT_M1a_M2a",0
"131","M7","matK",1,FALSE,FALSE,FALSE,"lnL_M7",-2047.964649,"LRT_M7_M8",-0.00709999999980937
"132","M7","matK",1,FALSE,FALSE,FALSE,"lnL_M7",-2047.964649,"p_M7_M8",1
"133","M8","matK",1,FALSE,FALSE,FALSE,"lnL_M8",-2047.968199,"LRT_M1a_M2a",0
"134","M8","matK",1,FALSE,FALSE,FALSE,"lnL_M8",-2047.968199,"LRT_M7_M8",-0.00709999999980937
"135","M8","matK",1,FALSE,FALSE,FALSE,"lnL_M8",-2047.968199,"p_M7_M8",1
"136","M0","ndhA",1,FALSE,FALSE,FALSE,"lnL_M0",-1455.546592,"LRT_M1a_M2a",0
"137","M0","ndhA",1,FALSE,FALSE,FALSE,"lnL_M0",-1455.546592,"LRT_M7_M8",0.000157999999828462
"138","M0","ndhA",1,FALSE,FALSE,FALSE,"lnL_M0",-1455.546592,"p_M7_M8",0.999921003120504
"139","M1a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M1a",-1455.546592,"LRT_M1a_M2a",0
"140","M1a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M1a",-1455.546592,"LRT_M7_M8",0.000157999999828462
"141","M1a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M1a",-1455.546592,"p_M7_M8",0.999921003120504
"142","M2a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M2a",-1455.546592,"LRT_M1a_M2a",0
"143","M2a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M2a",-1455.546592,"LRT_M7_M8",0.000157999999828462
"144","M2a","ndhA",1,FALSE,FALSE,FALSE,"lnL_M2a",-1455.546592,"p_M7_M8",0.999921003120504
"145","M7","ndhA",1,FALSE,FALSE,FALSE,"lnL_M7",-1455.546739,"LRT_M1a_M2a",0
"146","M7","ndhA",1,FALSE,FALSE,FALSE,"lnL_M7",-1455.546739,"LRT_M7_M8",0.000157999999828462
"147","M7","ndhA",1,FALSE,FALSE,FALSE,"lnL_M7",-1455.546739,"p_M7_M8",0.999921003120504
"148","M8","ndhA",1,FALSE,FALSE,FALSE,"lnL_M8",-1455.54666,"LRT_M1a_M2a",0
"149","M8","ndhA",1,FALSE,FALSE,FALSE,"lnL_M8",-1455.54666,"LRT_M7_M8",0.000157999999828462
"150","M8","ndhA",1,FALSE,FALSE,FALSE,"lnL_M8",-1455.54666,"p_M7_M8",0.999921003120504
"151","M0","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M0",-2019.199592,"LRT_M1a_M2a",0.00296599999956015
"152","M0","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M0",-2019.199592,"LRT_M7_M8",-0.00301799999988361
"153","M0","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M0",-2019.199592,"p_M7_M8",1
"154","M1a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M1a",-2019.198982,"LRT_M1a_M2a",0.00296599999956015
"155","M1a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M1a",-2019.198982,"LRT_M7_M8",-0.00301799999988361
"156","M1a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M1a",-2019.198982,"p_M7_M8",1
"157","M2a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M2a",-2019.197499,"LRT_M1a_M2a",0.00296599999956015
"158","M2a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M2a",-2019.197499,"LRT_M7_M8",-0.00301799999988361
"159","M2a","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M2a",-2019.197499,"p_M7_M8",1
"160","M7","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M7",-2019.197499,"LRT_M1a_M2a",0.00296599999956015
"161","M7","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M7",-2019.197499,"LRT_M7_M8",-0.00301799999988361
"162","M7","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M7",-2019.197499,"p_M7_M8",1
"163","M8","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M8",-2019.199008,"LRT_M1a_M2a",0.00296599999956015
"164","M8","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M8",-2019.199008,"LRT_M7_M8",-0.00301799999988361
"165","M8","ndhB",0.99851809910133,FALSE,FALSE,FALSE,"lnL_M8",-2019.199008,"p_M7_M8",1
"166","M0","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M0",-461.917179,"LRT_M1a_M2a",6.00000000758882e-05
"167","M0","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M0",-461.917179,"LRT_M7_M8",-5.99999999622014e-05
"168","M0","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M0",-461.917179,"p_M7_M8",1
"169","M1a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M1a",-461.916911,"LRT_M1a_M2a",6.00000000758882e-05
"170","M1a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M1a",-461.916911,"LRT_M7_M8",-5.99999999622014e-05
"171","M1a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M1a",-461.916911,"p_M7_M8",1
"172","M2a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M2a",-461.916881,"LRT_M1a_M2a",6.00000000758882e-05
"173","M2a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M2a",-461.916881,"LRT_M7_M8",-5.99999999622014e-05
"174","M2a","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M2a",-461.916881,"p_M7_M8",1
"175","M7","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M7",-461.916878,"LRT_M1a_M2a",6.00000000758882e-05
"176","M7","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M7",-461.916878,"LRT_M7_M8",-5.99999999622014e-05
"177","M7","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M7",-461.916878,"p_M7_M8",1
"178","M8","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M8",-461.916908,"LRT_M1a_M2a",6.00000000758882e-05
"179","M8","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M8",-461.916908,"LRT_M7_M8",-5.99999999622014e-05
"180","M8","ndhC",0.999970000449958,FALSE,FALSE,FALSE,"lnL_M8",-461.916908,"p_M7_M8",1
"181","M0","ndhE",1,FALSE,FALSE,FALSE,"lnL_M0",-383.438933,"LRT_M1a_M2a",0
"182","M0","ndhE",1,FALSE,FALSE,FALSE,"lnL_M0",-383.438933,"LRT_M7_M8",0
"183","M0","ndhE",1,FALSE,FALSE,FALSE,"lnL_M0",-383.438933,"p_M7_M8",1
"184","M1a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M1a",-383.43833,"LRT_M1a_M2a",0
"185","M1a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M1a",-383.43833,"LRT_M7_M8",0
"186","M1a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M1a",-383.43833,"p_M7_M8",1
"187","M2a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M2a",-383.43833,"LRT_M1a_M2a",0
"188","M2a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M2a",-383.43833,"LRT_M7_M8",0
"189","M2a","ndhE",1,FALSE,FALSE,FALSE,"lnL_M2a",-383.43833,"p_M7_M8",1
"190","M7","ndhE",1,FALSE,FALSE,FALSE,"lnL_M7",-383.43833,"LRT_M1a_M2a",0
"191","M7","ndhE",1,FALSE,FALSE,FALSE,"lnL_M7",-383.43833,"LRT_M7_M8",0
"192","M7","ndhE",1,FALSE,FALSE,FALSE,"lnL_M7",-383.43833,"p_M7_M8",1
"193","M8","ndhE",1,FALSE,FALSE,FALSE,"lnL_M8",-383.43833,"LRT_M1a_M2a",0
"194","M8","ndhE",1,FALSE,FALSE,FALSE,"lnL_M8",-383.43833,"LRT_M7_M8",0
"195","M8","ndhE",1,FALSE,FALSE,FALSE,"lnL_M8",-383.43833,"p_M7_M8",1
"196","M0","ndhF",1,FALSE,FALSE,FALSE,"lnL_M0",-2902.617358,"LRT_M1a_M2a",0
"197","M0","ndhF",1,FALSE,FALSE,FALSE,"lnL_M0",-2902.617358,"LRT_M7_M8",2.00000067707151e-06
"198","M0","ndhF",1,FALSE,FALSE,FALSE,"lnL_M0",-2902.617358,"p_M7_M8",0.999999000000162
"199","M1a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M1a",-2902.617358,"LRT_M1a_M2a",0
"200","M1a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M1a",-2902.617358,"LRT_M7_M8",2.00000067707151e-06
"201","M1a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M1a",-2902.617358,"p_M7_M8",0.999999000000162
"202","M2a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M2a",-2902.617358,"LRT_M1a_M2a",0
"203","M2a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M2a",-2902.617358,"LRT_M7_M8",2.00000067707151e-06
"204","M2a","ndhF",1,FALSE,FALSE,FALSE,"lnL_M2a",-2902.617358,"p_M7_M8",0.999999000000162
"205","M7","ndhF",1,FALSE,FALSE,FALSE,"lnL_M7",-2902.617384,"LRT_M1a_M2a",0
"206","M7","ndhF",1,FALSE,FALSE,FALSE,"lnL_M7",-2902.617384,"LRT_M7_M8",2.00000067707151e-06
"207","M7","ndhF",1,FALSE,FALSE,FALSE,"lnL_M7",-2902.617384,"p_M7_M8",0.999999000000162
"208","M8","ndhF",1,FALSE,FALSE,FALSE,"lnL_M8",-2902.617383,"LRT_M1a_M2a",0
"209","M8","ndhF",1,FALSE,FALSE,FALSE,"lnL_M8",-2902.617383,"LRT_M7_M8",2.00000067707151e-06
"210","M8","ndhF",1,FALSE,FALSE,FALSE,"lnL_M8",-2902.617383,"p_M7_M8",0.999999000000162
"211","M0","ndhG",0.671104779469058,FALSE,FALSE,FALSE,"lnL_M0",-689.559708,"LRT_M1a_M2a",0.797659999999951
"212","M0","ndhG",0.671104779469058,FALSE,FALSE,FALSE,"lnL_M0",-689.559708,"LRT_M7_M8",0.79633200000012
"213","M0","ndhG",0.671104779469058,FALSE,FALSE,FALSE,"lnL_M0",-689.559708,"p_M7_M8",0.671550541019025
"214","M1a","ndhG",0.671104779469058,FALSE,FALSE,FALSE,"lnL_M1a",-689.958538,"LRT_M1a_M2a",0.797659999999951
"215","M1a","ndhG",0.671104779469058,FALSE,FALSE,FALSE,"lnL_M1a",-689.958538,"LRT_M7_M8",0.79633200000012
