accession,filename,size_bp,size_kb,size_mb
BK071852,BK071852.fasta,151666,151.67,0.152
BK071853,BK071853.fasta,152226,152.23,0.152
BK071854,BK071854.fasta,153131,153.13,0.153
BK071855,BK071855.fasta,153069,153.07,0.153
BK071856,BK071856.fasta,153069,153.07,0.153
BK071857,BK071857.fasta,152534,152.53,0.153
BK071858,BK071858.fasta,152506,152.51,0.153
BK071859,BK071859.fasta,152840,152.84,0.153
BK071860,BK071860.fasta,152566,152.57,0.153
BK071861,BK071861.fasta,153009,153.01,0.153
BK071862,BK071862.fasta,152120,152.12,0.152
BK071863,BK071863.fasta,153100,153.1,0.153
BK071864,BK071864.fasta,152086,152.09,0.152
BK071865,BK071865.fasta,152671,152.67,0.153
BK071866,BK071866.fasta,152195,152.19,0.152
BK071867,BK071867.fasta,153106,153.11,0.153
BK071868,BK071868.fasta,152896,152.9,0.153
BK071869,BK071869.fasta,152515,152.51,0.153
BK071870,BK071870.fasta,152542,152.54,0.153
BK071871,BK071871.fasta,152241,152.24,0.152
BK071872,BK071872.fasta,151924,151.92,0.152
BK071873,BK071873.fasta,152127,152.13,0.152
BR002395,BR002395.fasta,179156,179.16,0.179
BR002547,BR002547.1.fasta,117592,117.59,0.118
BR002548,BR002548.1.fasta,114091,114.09,0.114
BR002549,BR002549.1.fasta,113524,113.52,0.114
BR002550,BR002550.1.fasta,112847,112.85,0.113
CP157865,CP157865.fasta,135949,135.95,0.136
KC598086,KC598086.1.fasta,117549,117.55,0.118
LC727398,LC727398.fasta,151219,151.22,0.151
LC774945,LC774945.fasta,150478,150.48,0.15
LC849113,LC849113.fasta,160074,160.07,0.16
LC858458,LC858458.fasta,158427,158.43,0.158
LC899288,LC899288.fasta,162254,162.25,0.162
LC914692,LC914692.1.fasta,91673,91.67,0.092
LC915730,LC915730.fasta,138172,138.17,0.138
LC919526,LC919526.fasta,162376,162.38,0.162
LC923089,LC923089.fasta,153125,153.12,0.153
MH649286,MH649286.fasta,151752,151.75,0.152
MH649287,MH649287.fasta,157047,157.05,0.157
MH706712,MH706712.1.fasta,120063,120.06,0.12
MK033526,MK033526.fasta,156942,156.94,0.157
MK033538,MK033538.fasta,157578,157.58,0.158
MK033543,MK033543.fasta,156856,156.86,0.157
MK033549,MK033549.fasta,157561,157.56,0.158
MK204359,MK204359.fasta,156089,156.09,0.156
MK234901,MK234901.fasta,159502,159.5,0.16
MK234902,MK234902.fasta,159054,159.05,0.159
MK351805,MK351805.fasta,153793,153.79,0.154
MK751398,MK751398.fasta,152026,152.03,0.152
MK908406,MK908406.fasta,157190,157.19,0.157
MN064718,MN064718.fasta,150040,150.04,0.15
MN229512,MN229512.fasta,156282,156.28,0.156
MT052998,MT052998.fasta,160068,160.07,0.16
MT052999,MT052999.fasta,160094,160.09,0.16
MT053000,MT053000.fasta,159891,159.89,0.16
MT053001,MT053001.fasta,160072,160.07,0.16
MT053002,MT053002.fasta,160230,160.23,0.16
MT053003,MT053003.fasta,159710,159.71,0.16
MT053004,MT053004.fasta,160322,160.32,0.16
MT053005,MT053005.fasta,160621,160.62,0.161
MT053006,MT053006.fasta,160449,160.45,0.16
MT053007,MT053007.fasta,160361,160.36,0.16
MT053008,MT053008.fasta,157936,157.94,0.158
MT506232,MT506232.fasta,157325,157.32,0.157
MT656596,MT656596.fasta,157315,157.31,0.157
MT762166,MT762166.fasta,164687,164.69,0.165
MT948191,MT948191.fasta,155898,155.9,0.156
MT974496,MT974496.fasta,161880,161.88,0.162
MW029456,MW029456.fasta,160322,160.32,0.16
MW029457,MW029457.fasta,160748,160.75,0.161
MW029458,MW029458.fasta,161817,161.82,0.162
MW029459,MW029459.fasta,163800,163.8,0.164
MW250870,MW250870.1.fasta,195356,195.36,0.195
MW413436,MW413436.fasta,151763,151.76,0.152
MW420933,MW420933.fasta,152176,152.18,0.152
MW420934,MW420934.fasta,152333,152.33,0.152
MW420935,MW420935.fasta,151551,151.55,0.152
MW420937,MW420937.fasta,151908,151.91,0.152
MW420938,MW420938.fasta,152365,152.37,0.152
MW420939,MW420939.fasta,152016,152.02,0.152
MW420940,MW420940.fasta,152146,152.15,0.152
MW420941,MW420941.fasta,152110,152.11,0.152
MW420942,MW420942.fasta,152042,152.04,0.152
MW420943,MW420943.fasta,151777,151.78,0.152
MW420944,MW420944.fasta,152008,152.01,0.152
MW420945,MW420945.fasta,151745,151.75,0.152
MW420946,MW420946.fasta,151915,151.91,0.152
MW420947,MW420947.fasta,152558,152.56,0.153
MW420948,MW420948.fasta,151813,151.81,0.152
MW420949,MW420949.fasta,152484,152.48,0.152
MW420950,MW420950.fasta,151750,151.75,0.152
MW420951,MW420951.fasta,151762,151.76,0.152
MW420952,MW420952.fasta,152434,152.43,0.152
MW420953,MW420953.fasta,152530,152.53,0.153
MW420954,MW420954.fasta,152594,152.59,0.153
MW420955,MW420955.fasta,151827,151.83,0.152
MW420956,MW420956.fasta,152578,152.58,0.153
MW420957,MW420957.fasta,151521,151.52,0.152
MW420958,MW420958.fasta,152339,152.34,0.152
MW420959,MW420959.fasta,151030,151.03,0.151
MW420960,MW420960.fasta,152523,152.52,0.153
MW420961,MW420961.fasta,151544,151.54,0.152
MW420962,MW420962.fasta,151744,151.74,0.152
MW420963,MW420963.fasta,151861,151.86,0.152
MW420964,MW420964.fasta,152584,152.58,0.153
MW420965,MW420965.fasta,152330,152.33,0.152
MW420966,MW420966.fasta,151742,151.74,0.152
MW420967,MW420967.fasta,152184,152.18,0.152
MW420968,MW420968.fasta,152099,152.1,0.152
MW420969,MW420969.fasta,152529,152.53,0.153
MW420970,MW420970.fasta,151637,151.64,0.152
MW420971,MW420971.fasta,153186,153.19,0.153
MW420972,MW420972.fasta,152310,152.31,0.152
MW420973,MW420973.fasta,151823,151.82,0.152
MW420974,MW420974.fasta,152266,152.27,0.152
MW420975,MW420975.fasta,151634,151.63,0.152
MW420976,MW420976.fasta,152544,152.54,0.153
MW420977,MW420977.fasta,152533,152.53,0.153
MW420978,MW420978.fasta,152539,152.54,0.153
MW470954,MW470954.fasta,157343,157.34,0.157
MW483086,MW483086.fasta,157208,157.21,0.157
MW483087,MW483087.fasta,157218,157.22,0.157
MW483095,MW483095.fasta,157272,157.27,0.157
MW646912,MW646912.fasta,151267,151.27,0.151
MW646913,MW646913.fasta,151659,151.66,0.152
MW646914,MW646914.fasta,152341,152.34,0.152
MW646915,MW646915.fasta,152761,152.76,0.153
MW646916,MW646916.fasta,151452,151.45,0.151
MW646917,MW646917.fasta,152051,152.05,0.152
MW683061,MW683061.fasta,152612,152.61,0.153
MW683062,MW683062.fasta,152346,152.35,0.152
MW683063,MW683063.fasta,151889,151.89,0.152
MW683064,MW683064.fasta,152169,152.17,0.152
MW683065,MW683065.fasta,152988,152.99,0.153
MW683066,MW683066.fasta,152057,152.06,0.152
MW683067,MW683067.fasta,151731,151.73,0.152
MW683068,MW683068.fasta,151772,151.77,0.152
MW683070,MW683070.fasta,152642,152.64,0.153
MW785254,MW785254.fasta,157806,157.81,0.158
MW785255,MW785255.fasta,157990,157.99,0.158
MW785258,MW785258.fasta,158692,158.69,0.159
MW785260,MW785260.fasta,158433,158.43,0.158
MW785262,MW785262.fasta,157588,157.59,0.158
MW829277,MW829277.fasta,156709,156.71,0.157
MW829278,MW829278.fasta,154844,154.84,0.155
MW829284,MW829284.fasta,156165,156.16,0.156
MZ337548,MZ337548.fasta,133249,133.25,0.133
MZ520130,MZ520130.1.fasta,135219,135.22,0.135
MZ520131,MZ520131.1.fasta,131544,131.54,0.132
MZ520132,MZ520132.1.fasta,131858,131.86,0.132
MZ520133,MZ520133.1.fasta,131224,131.22,0.131
MZ520134,MZ520134.1.fasta,135289,135.29,0.135
MZ557567,MZ557567.fasta,156183,156.18,0.156
MZ662759,MZ662759.fasta,139664,139.66,0.14
OK509171,OK509171.fasta,156883,156.88,0.157
OK509172,OK509172.fasta,156657,156.66,0.157
OK509173,OK509173.fasta,156617,156.62,0.157
OK509174,OK509174.fasta,156582,156.58,0.157
OK509175,OK509175.fasta,157026,157.03,0.157
OK509176,OK509176.fasta,156618,156.62,0.157
OK509178,OK509178.fasta,156551,156.55,0.157
OL444889,OL444889.fasta,135127,135.13,0.135
OL804278,OL804278.fasta,160739,160.74,0.161
OL804288,OL804288.fasta,160201,160.2,0.16
OL852088,OL852088.fasta,155075,155.07,0.155
OL852089,OL852089.fasta,154129,154.13,0.154
OL852090,OL852090.fasta,155482,155.48,0.155
OL852091,OL852091.fasta,154320,154.32,0.154
OL852092,OL852092.fasta,153764,153.76,0.154
OL852093,OL852093.fasta,155491,155.49,0.155
OL852094,OL852094.fasta,155439,155.44,0.155
OL852095,OL852095.fasta,155482,155.48,0.155
OL852096,OL852096.fasta,155602,155.6,0.156
OL875059,OL875059.fasta,155759,155.76,0.156
OL875060,OL875060.fasta,155400,155.4,0.155
OL875062,OL875062.fasta,155581,155.58,0.156
OL875063,OL875063.fasta,154534,154.53,0.155
OL875064,OL875064.fasta,153763,153.76,0.154
OL875065,OL875065.fasta,154404,154.4,0.154
OL875066,OL875066.fasta,154808,154.81,0.155
OL875067,OL875067.fasta,154739,154.74,0.155
OL875068,OL875068.fasta,154451,154.45,0.154
OL875069,OL875069.fasta,155645,155.65,0.156
OL875070,OL875070.fasta,153782,153.78,0.154
OL875071,OL875071.fasta,154311,154.31,0.154
OL875072,OL875072.fasta,154107,154.11,0.154
OL891503,OL891503.fasta,160134,160.13,0.16
OL891504,OL891504.fasta,160556,160.56,0.161
OL891505,OL891505.fasta,160532,160.53,0.161
OL891506,OL891506.fasta,160013,160.01,0.16
OL891507,OL891507.fasta,160626,160.63,0.161
OL891508,OL891508.fasta,160666,160.67,0.161
OL891509,OL891509.fasta,160688,160.69,0.161
OL891510,OL891510.fasta,160914,160.91,0.161
OL891511,OL891511.fasta,160902,160.9,0.161
OL891512,OL891512.fasta,160729,160.73,0.161
OL891513,OL891513.fasta,160744,160.74,0.161
OL891514,OL891514.fasta,161108,161.11,0.161
OL891515,OL891515.fasta,160522,160.52,0.161
OL891516,OL891516.fasta,160758,160.76,0.161
OL891517,OL891517.fasta,161117,161.12,0.161
OL891518,OL891518.fasta,160934,160.93,0.161
OL891519,OL891519.fasta,160864,160.86,0.161
OL891520,OL891520.fasta,160577,160.58,0.161
OL891521,OL891521.fasta,161030,161.03,0.161
OL891595,OL891595.fasta,155466,155.47,0.155
OL891596,OL891596.fasta,155285,155.28,0.155
OL944401,OL944401.fasta,155602,155.6,0.156
OM048110,OM048110.fasta,131540,131.54,0.132
OM256484,OM256484.fasta,159414,159.41,0.159
OM272998,OM272998.fasta,153170,153.17,0.153
OM273003,OM273003.fasta,152863,152.86,0.153
OM640181,OM640181.fasta,163287,163.29,0.163
OM640182,OM640182.fasta,166329,166.33,0.166
OM640183,OM640183.fasta,163268,163.27,0.163
OM640185,OM640185.fasta,161699,161.7,0.162
OM640186,OM640186.fasta,162525,162.53,0.163
OM640187,OM640187.fasta,162670,162.67,0.163
OM640188,OM640188.fasta,163099,163.1,0.163
OM640189,OM640189.fasta,162167,162.17,0.162
OM640190,OM640190.fasta,161805,161.81,0.162
OM640192,OM640192.fasta,164590,164.59,0.165
OM826985,OM826985.fasta,166694,166.69,0.167
OM826986,OM826986.fasta,166642,166.64,0.167
OM935756,OM935756.fasta,148866,148.87,0.149
OM948747,OM948747.fasta,150485,150.49,0.15
OM948748,OM948748.fasta,152108,152.11,0.152
OM948749,OM948749.fasta,152455,152.46,0.152
OM948750,OM948750.fasta,152606,152.61,0.153
OM948751,OM948751.fasta,153231,153.23,0.153
OM948752,OM948752.fasta,152087,152.09,0.152
OM948753,OM948753.fasta,152491,152.49,0.152
OM948754,OM948754.fasta,153074,153.07,0.153
OM948755,OM948755.fasta,152382,152.38,0.152
OM948756,OM948756.fasta,152071,152.07,0.152
OM948757,OM948757.fasta,152136,152.14,0.152
OM948758,OM948758.fasta,151542,151.54,0.152
OM948759,OM948759.fasta,152727,152.73,0.153
OM948763,OM948763.fasta,151965,151.97,0.152
OM948764,OM948764.fasta,153737,153.74,0.154
OM948765,OM948765.fasta,150714,150.71,0.151
OM948766,OM948766.fasta,152063,152.06,0.152
OM948767,OM948767.fasta,150625,150.62,0.151
OM948769,OM948769.fasta,152721,152.72,0.153
OM948771,OM948771.fasta,149323,149.32,0.149
OM948773,OM948773.fasta,153111,153.11,0.153
OM948774,OM948774.fasta,153337,153.34,0.153
OM948775,OM948775.fasta,152844,152.84,0.153
OM948776,OM948776.fasta,150825,150.82,0.151
OM948777,OM948777.fasta,152499,152.5,0.152
OM948781,OM948781.fasta,152656,152.66,0.153
OM948782,OM948782.fasta,152177,152.18,0.152
OM949882,OM949882.fasta,159077,159.08,0.159
OM949883,OM949883.fasta,157578,157.58,0.158
OM949884,OM949884.fasta,156230,156.23,0.156
OM949885,OM949885.fasta,156245,156.25,0.156
OM949886,OM949886.fasta,156860,156.86,0.157
OM949887,OM949887.fasta,156672,156.67,0.157
OM949888,OM949888.fasta,156330,156.33,0.156
OM949889,OM949889.fasta,156488,156.49,0.156
OM949890,OM949890.fasta,156828,156.83,0.157
OM949891,OM949891.fasta,156706,156.71,0.157
OM949892,OM949892.fasta,157070,157.07,0.157
OM949893,OM949893.fasta,157171,157.17,0.157
OM949894,OM949894.fasta,156765,156.76,0.157
OM949895,OM949895.fasta,157275,157.28,0.157
OM949896,OM949896.fasta,157551,157.55,0.158
OM949897,OM949897.fasta,157513,157.51,0.158
OM949898,OM949898.fasta,157798,157.8,0.158
OM949899,OM949899.fasta,155401,155.4,0.155
OM949900,OM949900.fasta,156819,156.82,0.157
OM949901,OM949901.fasta,157805,157.81,0.158
OM949902,OM949902.fasta,156891,156.89,0.157
OM949903,OM949903.fasta,156741,156.74,0.157
OM949904,OM949904.fasta,156319,156.32,0.156
OM949905,OM949905.fasta,156440,156.44,0.156
OM949906,OM949906.fasta,157500,157.5,0.158
OM949907,OM949907.fasta,157243,157.24,0.157
OM949908,OM949908.fasta,157022,157.02,0.157
OM949909,OM949909.fasta,156922,156.92,0.157
OM949910,OM949910.fasta,159063,159.06,0.159
OM949911,OM949911.fasta,155612,155.61,0.156
OM949912,OM949912.fasta,156893,156.89,0.157
OM949913,OM949913.fasta,155755,155.75,0.156
OM949914,OM949914.fasta,156389,156.39,0.156
OM949915,OM949915.fasta,156922,156.92,0.157
OM949917,OM949917.fasta,156413,156.41,0.156
OM949918,OM949918.fasta,157281,157.28,0.157
OM949919,OM949919.fasta,155538,155.54,0.156
OM949920,OM949920.fasta,156154,156.15,0.156
OM949921,OM949921.fasta,155992,155.99,0.156
OM949922,OM949922.fasta,156084,156.08,0.156
OM949923,OM949923.fasta,156579,156.58,0.157
OM949924,OM949924.fasta,156170,156.17,0.156
OM949926,OM949926.fasta,156651,156.65,0.157
OM949927,OM949927.fasta,156508,156.51,0.157
OM949928,OM949928.fasta,157173,157.17,0.157
OM949929,OM949929.fasta,155813,155.81,0.156
OM949930,OM949930.fasta,156506,156.51,0.157
OM949931,OM949931.fasta,156786,156.79,0.157
OM949932,OM949932.fasta,155789,155.79,0.156
OM949933,OM949933.fasta,157015,157.01,0.157
OM949934,OM949934.fasta,156282,156.28,0.156
OM949935,OM949935.fasta,156967,156.97,0.157
OM949936,OM949936.fasta,156830,156.83,0.157
OM949937,OM949937.fasta,156283,156.28,0.156
OM961047,OM961047.fasta,153972,153.97,0.154
ON087701,ON087701.fasta,151150,151.15,0.151
ON149840,ON149840.fasta,167974,167.97,0.168
ON470822,ON470822.fasta,146985,146.99,0.147
ON470823,ON470823.fasta,148632,148.63,0.149
ON470826,ON470826.fasta,148609,148.61,0.149
ON470828,ON470828.fasta,148632,148.63,0.149
ON470829,ON470829.fasta,148494,148.49,0.148
ON470830,ON470830.fasta,148470,148.47,0.148
ON470833,ON470833.fasta,155449,155.45,0.155
ON693853,ON693853.fasta,159102,159.1,0.159
ON729341,ON729341.fasta,159053,159.05,0.159
ON729344,ON729344.fasta,160355,160.35,0.16
ON729345,ON729345.fasta,159801,159.8,0.16
ON729346,ON729346.fasta,158090,158.09,0.158
ON729347,ON729347.fasta,159318,159.32,0.159
ON729348,ON729348.fasta,159450,159.45,0.159
ON729349,ON729349.fasta,159182,159.18,0.159
ON729350,ON729350.fasta,159453,159.45,0.159
ON729351,ON729351.fasta,159439,159.44,0.159
ON729352,ON729352.fasta,158939,158.94,0.159
ON729353,ON729353.fasta,158975,158.97,0.159
ON729354,ON729354.fasta,159409,159.41,0.159
ON729355,ON729355.fasta,159402,159.4,0.159
ON729356,ON729356.fasta,159451,159.45,0.159
ON729357,ON729357.fasta,159229,159.23,0.159
ON729358,ON729358.fasta,159014,159.01,0.159
ON729359,ON729359.fasta,159130,159.13,0.159
ON729360,ON729360.fasta,158856,158.86,0.159
ON729361,ON729361.fasta,158787,158.79,0.159
ON729362,ON729362.fasta,158997,159.0,0.159
ON729363,ON729363.fasta,158707,158.71,0.159
ON729364,ON729364.fasta,159035,159.03,0.159
ON729365,ON729365.fasta,159766,159.77,0.16
ON729366,ON729366.fasta,159785,159.78,0.16
ON729367,ON729367.fasta,159641,159.64,0.16
ON729368,ON729368.fasta,158895,158.9,0.159
ON729369,ON729369.fasta,159198,159.2,0.159
ON729370,ON729370.fasta,159170,159.17,0.159
ON729373,ON729373.fasta,159109,159.11,0.159
ON729374,ON729374.fasta,159183,159.18,0.159
ON729375,ON729375.fasta,159055,159.06,0.159
ON729376,ON729376.fasta,160860,160.86,0.161
ON729377,ON729377.fasta,160860,160.86,0.161
ON729378,ON729378.fasta,160432,160.43,0.16
ON729379,ON729379.fasta,160486,160.49,0.16
ON729381,ON729381.fasta,160285,160.28,0.16
ON729382,ON729382.fasta,160621,160.62,0.161
ON729383,ON729383.fasta,159868,159.87,0.16
ON729384,ON729384.fasta,159899,159.9,0.16
ON729385,ON729385.fasta,159775,159.78,0.16
ON729386,ON729386.fasta,159750,159.75,0.16
ON729387,ON729387.fasta,160102,160.1,0.16
ON729388,ON729388.fasta,159737,159.74,0.16
ON868911,ON868911.fasta,163578,163.58,0.164
ON880466,ON880466.fasta,156519,156.52,0.157
ON880467,ON880467.fasta,155786,155.79,0.156
ON880468,ON880468.fasta,157395,157.4,0.157
ON929836,ON929836.fasta,151822,151.82,0.152
ON929837,ON929837.fasta,151507,151.51,0.152
ON929838,ON929838.fasta,152055,152.06,0.152
ON929839,ON929839.fasta,152367,152.37,0.152
ON929840,ON929840.fasta,154084,154.08,0.154
ON929841,ON929841.fasta,151018,151.02,0.151
ON929842,ON929842.fasta,150965,150.97,0.151
ON929843,ON929843.fasta,152051,152.05,0.152
ON929844,ON929844.fasta,151329,151.33,0.151
ON929845,ON929845.fasta,149030,149.03,0.149
ON929846,ON929846.fasta,150961,150.96,0.151
ON929847,ON929847.fasta,150250,150.25,0.15
ON929848,ON929848.fasta,151277,151.28,0.151
ON929849,ON929849.fasta,151145,151.15,0.151
ON929850,ON929850.fasta,150499,150.5,0.15
ON929851,ON929851.fasta,151338,151.34,0.151
ON929852,ON929852.fasta,150081,150.08,0.15
ON929853,ON929853.fasta,151109,151.11,0.151
ON929854,ON929854.fasta,152827,152.83,0.153
ON929855,ON929855.fasta,152890,152.89,0.153
ON929856,ON929856.fasta,152510,152.51,0.153
ON929857,ON929857.fasta,151305,151.31,0.151
ON929858,ON929858.fasta,151305,151.31,0.151
ON929859,ON929859.fasta,152890,152.89,0.153
ON929860,ON929860.fasta,152166,152.17,0.152
ON929861,ON929861.fasta,151288,151.29,0.151
ON929862,ON929862.fasta,152078,152.08,0.152
ON929863,ON929863.fasta,152711,152.71,0.153
ON929864,ON929864.fasta,151239,151.24,0.151
ON929865,ON929865.fasta,150076,150.08,0.15
ON929866,ON929866.fasta,151508,151.51,0.152
ON929867,ON929867.fasta,150232,150.23,0.15
ON929868,ON929868.fasta,149854,149.85,0.15
ON929869,ON929869.fasta,152882,152.88,0.153
ON929870,ON929870.fasta,153800,153.8,0.154
ON929871,ON929871.fasta,153693,153.69,0.154
ON929872,ON929872.fasta,151722,151.72,0.152
ON929873,ON929873.fasta,149863,149.86,0.15
ON929874,ON929874.fasta,151205,151.21,0.151
ON929875,ON929875.fasta,150693,150.69,0.151
ON929876,ON929876.fasta,149270,149.27,0.149
ON929877,ON929877.fasta,151293,151.29,0.151
ON929878,ON929878.fasta,149302,149.3,0.149
ON929879,ON929879.fasta,145543,145.54,0.146
ON929880,ON929880.fasta,145494,145.49,0.145
ON929881,ON929881.fasta,149701,149.7,0.15
ON929882,ON929882.fasta,146654,146.65,0.147
OP133565,OP133565.fasta,155522,155.52,0.156
OP133566,OP133566.fasta,155602,155.6,0.156
OP133567,OP133567.fasta,155367,155.37,0.155
OP133568,OP133568.fasta,154037,154.04,0.154
OP133569,OP133569.fasta,154349,154.35,0.154
OP133570,OP133570.fasta,155013,155.01,0.155
OP133571,OP133571.fasta,161450,161.45,0.161
OP133572,OP133572.fasta,160246,160.25,0.16
OP133573,OP133573.fasta,157158,157.16,0.157
OP133574,OP133574.fasta,178308,178.31,0.178
OP133575,OP133575.fasta,161698,161.7,0.162
OP133576,OP133576.fasta,161290,161.29,0.161
OP133577,OP133577.fasta,161436,161.44,0.161
OP133578,OP133578.fasta,175542,175.54,0.176
OP133579,OP133579.fasta,161256,161.26,0.161
OP133580,OP133580.fasta,161201,161.2,0.161
OP133581,OP133581.fasta,161348,161.35,0.161
OP133582,OP133582.fasta,159812,159.81,0.16
OP133583,OP133583.fasta,158970,158.97,0.159
OP133584,OP133584.fasta,160961,160.96,0.161
OP133585,OP133585.fasta,162509,162.51,0.163
OP133586,OP133586.fasta,161223,161.22,0.161
OP133587,OP133587.fasta,162173,162.17,0.162
OP133588,OP133588.fasta,162640,162.64,0.163
OP133589,OP133589.fasta,154630,154.63,0.155
OP133590,OP133590.fasta,156604,156.6,0.157
OP133591,OP133591.fasta,158925,158.93,0.159
OP133592,OP133592.fasta,161700,161.7,0.162
OP133593,OP133593.fasta,154955,154.96,0.155
OP133594,OP133594.fasta,154916,154.92,0.155
OP133595,OP133595.fasta,154729,154.73,0.155
OP133596,OP133596.fasta,175487,175.49,0.175
OP133597,OP133597.fasta,155680,155.68,0.156
OP133598,OP133598.fasta,154770,154.77,0.155
OP271874,OP271874.fasta,162528,162.53,0.163
OP278172,OP278172.fasta,170207,170.21,0.17
OP425116,OP425116.fasta,164734,164.73,0.165
OP514740,OP514740.fasta,155331,155.33,0.155
OP514741,OP514741.fasta,155501,155.5,0.156
OP514744,OP514744.fasta,160278,160.28,0.16
OP514747,OP514747.fasta,158021,158.02,0.158
OP514748,OP514748.fasta,158473,158.47,0.158
OP514749,OP514749.fasta,158988,158.99,0.159
OP514751,OP514751.fasta,155414,155.41,0.155
OP531898,OP531898.fasta,157131,157.13,0.157
OP531905,OP531905.fasta,156630,156.63,0.157
OP531907,OP531907.fasta,156113,156.11,0.156
OP531908,OP531908.fasta,155574,155.57,0.156
OP531909,OP531909.fasta,155485,155.49,0.155
OP531910,OP531910.fasta,155330,155.33,0.155
OP531911,OP531911.fasta,155676,155.68,0.156
OP574347,OP574347.fasta,160535,160.53,0.161
OP651896,OP651896.fasta,168904,168.9,0.169
OP686973,OP686973.fasta,161637,161.64,0.162
OP688482,OP688482.fasta,155579,155.58,0.156
OP787130,OP787130.fasta,156688,156.69,0.157
OP837513,OP837513.fasta,153425,153.43,0.153
OP837515,OP837515.fasta,151179,151.18,0.151
OP837516,OP837516.fasta,151284,151.28,0.151
OP837518,OP837518.fasta,152968,152.97,0.153
OP837519,OP837519.fasta,153349,153.35,0.153
OP837522,OP837522.fasta,151600,151.6,0.152
OP946451,OP946451.fasta,156990,156.99,0.157
OP946452,OP946452.fasta,157062,157.06,0.157
OP963999,OP963999.fasta,159676,159.68,0.16
OP964000,OP964000.fasta,159656,159.66,0.16
OP964001,OP964001.fasta,159800,159.8,0.16
OP964002,OP964002.fasta,159718,159.72,0.16
OP964004,OP964004.fasta,159744,159.74,0.16
OP964006,OP964006.fasta,159827,159.83,0.16
OP964008,OP964008.fasta,159654,159.65,0.16
OP964009,OP964009.fasta,159717,159.72,0.16
OP964011,OP964011.fasta,159835,159.84,0.16
OP964014,OP964014.fasta,159779,159.78,0.16
OP978504,OP978504.fasta,151179,151.18,0.151
