accession,genome_size_bp,year,taxonomy_id,kingdom,phylum,class,order,family,genus,species,title
PV575194,156374,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 6 chloroplast, complete genome"
PV575193,156242,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 5 chloroplast, complete genome"
PV575192,156302,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 4 chloroplast, complete genome"
PV575191,156233,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 3 chloroplast, complete genome"
PV575190,156488,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 2 chloroplast, complete genome"
PV575189,156356,2026,2557522,NA,NA,NA,NA,NA,NA,NA,"Panax major isolate 1 chloroplast, complete genome"
PZ381391,154583,2026,339780,NA,NA,NA,NA,NA,NA,NA,"Stemona parviflora chloroplast, complete genome"
PZ381390,139211,2026,4556,NA,NA,NA,NA,NA,NA,NA,"Setaria viridis chloroplast, complete genome"
PZ381150,141181,2026,128810,NA,NA,NA,NA,NA,NA,NA,"Saccharum hybrid cultivar cultivar Pringu chloroplast, complete genome"
PX705446,160564,2026,416981,NA,NA,NA,NA,NA,NA,NA,"Anemone amurensis chloroplast, complete genome"
PZ291594,138144,2026,3132154,NA,NA,NA,NA,NA,NA,NA,"Pennisetum sinese chloroplast, complete genome"
PZ291083,163049,2026,2546319,NA,NA,NA,NA,NA,NA,NA,"Anemone tenuiloba isolate XLBTW chloroplast, complete genome"
PZ286360,152689,2026,3095104,NA,NA,NA,NA,NA,NA,NA,"Chrysosplenium insularis voucher JJ-200325-001 chloroplast, complete genome"
PZ282110,151162,2026,1548589,NA,NA,NA,NA,NA,NA,NA,"Inula grandis chloroplast, complete genome"
PZ281924,151821,2026,65409,NA,NA,NA,NA,NA,NA,NA,"Scutellaria baicalensis chloroplast, complete genome"
PZ270244,152290,2026,109808,NA,NA,NA,NA,NA,NA,NA,"Lilium amoenum chloroplast, complete genome"
PZ270246,151598,2026,502583,NA,NA,NA,NA,NA,NA,NA,"Lilium bakerianum var. rubrum chloroplast, complete genome"
PZ369174,160190,2026,1006121,NA,NA,NA,NA,NA,NA,NA,"Tetrastigma hemsleyanum cultivar jiaqiang zhang chloroplast, complete genome"
PP934442,156604,2026,1826188,NA,NA,NA,NA,NA,NA,NA,"Rosa taiwanensis isolate 7267 voucher SKK:JJH-267 chloroplast, complete genome"
PP934441,156510,2026,1608497,NA,NA,NA,NA,NA,NA,NA,"Rosa transmorrisonensis isolate 7301 voucher SKK:JJH-301 chloroplast, complete genome"
PP934440,156563,2026,117267,NA,NA,NA,NA,NA,NA,NA,"Rosa sambucina isolate JM221 voucher SKK:JM221 chloroplast, complete genome"
PP934439,156510,2026,1642052,NA,NA,NA,NA,NA,NA,NA,"Rosa paniculigera isolate 2137 voucher SKK:140403307 chloroplast, complete genome"
PP934438,156487,2026,283483,NA,NA,NA,NA,NA,NA,NA,"Rosa lucieae var. onoei isolate JM102 voucher SKK:JM102 chloroplast, complete genome"
PZ291611,165931,2026,40031,NA,NA,NA,NA,NA,NA,NA,"Rhizophora mangle chloroplast, complete genome"
PZ291610,166118,2026,106627,NA,NA,NA,NA,NA,NA,NA,"Rhizophora racemosa chloroplast, complete genome"
PZ236443,161983,2026,129201,NA,NA,NA,NA,NA,NA,NA,"Ipomoea cairica chloroplast, complete genome"
PV666431,157507,2025,128625,NA,NA,NA,NA,NA,NA,NA,"Eusideroxylon zwageri chloroplast, complete genome"
PZ303173,163791,2026,178812,NA,NA,NA,NA,NA,NA,NA,"UNVERIFIED: Curatella americana chloroplast, complete genome"
PZ351331,155568,2026,3747,NA,NA,NA,NA,NA,NA,NA,"Fragaria x ananassa cultivar Mencir chloroplast, complete genome"
PZ344155,141180,2026,128810,NA,NA,NA,NA,NA,NA,NA,"Saccharum hybrid cultivar cultivar Kidang Kencana chloroplast, complete genome"
PP073962,158155,2026,1971615,NA,NA,NA,NA,NA,NA,NA,"Garcinia yunnanensis chloroplast, complete genome"
PZ337663,161229,2026,2506272,NA,NA,NA,NA,NA,NA,NA,"Quercus sp. isolate ELOT chloroplast, complete genome"
PZ337562,161323,2026,1266325,NA,NA,NA,NA,NA,NA,NA,"Quercus dolicholepis voucher SYAU-YJ-001 chloroplast, complete genome"
PZ322776,164178,2026,1130020,NA,NA,NA,NA,NA,NA,NA,"Euphorbia royleana voucher ZZU:ER01 chloroplast, complete genome"
PZ322778,153895,2026,384981,NA,NA,NA,NA,NA,NA,NA,"Vitex cofassus isolate XI.K.15A chloroplast, complete genome"
PP747016,158507,2026,281395,NA,NA,NA,NA,NA,NA,NA,"Cedrela fissilis chloroplast, complete genome"
OQ351328,164831,2026,2528550,NA,NA,NA,NA,NA,NA,NA,"Ferula paeoniifolia chloroplast, complete genome"
PV553482,156765,2026,1054366,NA,NA,NA,NA,NA,NA,NA,"Cryptocarya natalensis voucher A. Abbott 6207 chloroplast, complete genome"
PV553481,151484,2026,1354002,NA,NA,NA,NA,NA,NA,NA,"Williamodendron cinnamomeum voucher M.C. Vergne &amp; al. 165 chloroplast, complete genome"
PV553480,157557,2026,128695,NA,NA,NA,NA,NA,NA,NA,"Potoxylon melagangai voucher B. Hyland 14969 chloroplast, complete genome"
PV553479,152786,2026,3416789,NA,NA,NA,NA,NA,NA,NA,"Endlicheria arenosa voucher C.A. Cid Ferreira &amp; al. 7803 chloroplast, complete genome"
PV553478,152698,2026,136113,NA,NA,NA,NA,NA,NA,NA,"Aiouea chavarriana voucher B. Hammel 17298 chloroplast, complete genome"
PV553477,152764,2026,1186080,NA,NA,NA,NA,NA,NA,NA,"Aniba guianensis voucher C.C. Berg &amp; al. BG688 chloroplast, complete genome"
PV553476,152824,2026,1204774,NA,NA,NA,NA,NA,NA,NA,"Cinnadenia paniculata voucher P.K. Loc &amp; al. HAL9188 chloroplast, complete genome"
PV553475,145493,2026,1127095,NA,NA,NA,NA,NA,NA,NA,"Damburneya martinicensis voucher M.J. Balick 3185 chloroplast, complete genome"
PV553474,152786,2026,128633,NA,NA,NA,NA,NA,NA,NA,"Kubitzkia mezii voucher C.A. Ferreira &amp; al. 7748 chloroplast, complete genome"
PV553473,151733,2026,2321310,NA,NA,NA,NA,NA,NA,NA,"Mezilaurus sprucei voucher D.G. Campbell &amp; al. 7037 chloroplast, complete genome"
PV553472,152600,2026,2912267,NA,NA,NA,NA,NA,NA,NA,"Mespilodaphne macrophylla voucher J.A. Steyermark 43638 chloroplast, complete genome"
PV553471,152779,2026,128679,NA,NA,NA,NA,NA,NA,NA,"Paraia bracteata voucher A.A. Loureiro INPA39554 chloroplast, complete genome"
PV553470,152547,2026,2894501,NA,NA,NA,NA,NA,NA,NA,"Phyllostemonodaphne geminiflora voucher D.A. Folli 7134 chloroplast, complete genome"
PV553469,151556,2026,1930898,NA,NA,NA,NA,NA,NA,NA,"Pleurothyrium cuneifolium voucher W. Quizhpe &amp; al. 349 chloroplast, complete genome"
PV553468,152684,2026,158524,NA,NA,NA,NA,NA,NA,NA,"Rhodostemonodaphne kunthiana voucher A. Rodriguez &amp; al. 3362 chloroplast, complete genome"
PV553467,152314,2026,128705,NA,NA,NA,NA,NA,NA,NA,"Urbanodendron verrucosum voucher E.T. Neto 2580 chloroplast, complete genome"
PV553466,158470,2026,1345265,NA,NA,NA,NA,NA,NA,NA,"Yasunia sessiliflora voucher D. Neill &amp; al. 11089 chloroplast, complete genome"
PV553465,152546,2026,3416788,NA,NA,NA,NA,NA,NA,NA,"Apollonias arnottii voucher C.E. Ridsdale 497 chloroplast, complete genome"
PQ068718,155685,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu761_5 chloroplast, complete genome"
PQ068717,155685,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu761_4 chloroplast, complete genome"
PQ068716,155685,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu761_3 chloroplast, complete genome"
PQ068715,155685,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu761_2 chloroplast, complete genome"
PQ068714,155685,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu761_1 chloroplast, complete genome"
PQ068713,155979,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu627_4 chloroplast, complete genome"
PQ068712,155979,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu627_3 chloroplast, complete genome"
PQ068711,155979,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu627_2 chloroplast, complete genome"
PQ068710,155979,2026,2486686,NA,NA,NA,NA,NA,NA,NA,"Bredia yunnanensis isolate Liu627_1 chloroplast, complete genome"
PQ068709,155944,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu862_4 chloroplast, complete genome"
PQ068708,155944,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu862_3 chloroplast, complete genome"
PQ068707,155944,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu862_2 chloroplast, complete genome"
PQ068706,155944,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu862_1 chloroplast, complete genome"
PQ068705,155983,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu629_4 chloroplast, complete genome"
PQ068704,155983,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu629_3 chloroplast, complete genome"
PQ068703,155983,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu629_2 chloroplast, complete genome"
PQ068702,155983,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu629_1 chloroplast, complete genome"
PQ068701,155927,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu755_5 chloroplast, complete genome"
PQ068700,155953,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu755_4 chloroplast, complete genome"
PQ068699,155953,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu755_3 chloroplast, complete genome"
PQ068698,155953,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu755_2 chloroplast, complete genome"
PQ068697,155927,2026,2293656,NA,NA,NA,NA,NA,NA,NA,"Bredia tuberculata isolate Liu755_1 chloroplast, complete genome"
PQ068696,155961,2026,3238339,NA,NA,NA,NA,NA,NA,NA,"Bredia sp. isolate Liu757_5 chloroplast, complete genome"
PQ068695,155961,2026,3238339,NA,NA,NA,NA,NA,NA,NA,"Bredia sp. isolate Liu757_4 chloroplast, complete genome"
PQ068694,155961,2026,3238339,NA,NA,NA,NA,NA,NA,NA,"Bredia sp. isolate Liu757_3 chloroplast, complete genome"
PQ068693,155961,2026,3238339,NA,NA,NA,NA,NA,NA,NA,"Bredia sp. isolate Liu757_2 chloroplast, complete genome"
PQ068692,155961,2026,3238339,NA,NA,NA,NA,NA,NA,NA,"Bredia sp. isolate Liu757_1 chloroplast, complete genome"
PQ068691,155983,2026,2291716,NA,NA,NA,NA,NA,NA,NA,"Bredia repens isolate Liu746 chloroplast, complete genome"
PQ068690,155821,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu864_5 chloroplast, complete genome"
PQ068689,155821,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu864_4 chloroplast, complete genome"
PQ068688,155821,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu864_3 chloroplast, complete genome"
PQ068687,155821,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu864_2 chloroplast, complete genome"
PQ068686,155821,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu864_1 chloroplast, complete genome"
PQ068685,156285,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu860_1 chloroplast, complete genome"
PQ068684,156276,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu857_5 chloroplast, complete genome"
PQ068683,156276,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu857_4 chloroplast, complete genome"
PQ068682,156276,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu857_3 chloroplast, complete genome"
PQ068681,156276,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu857_2 chloroplast, complete genome"
PQ068680,156276,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu857_1 chloroplast, complete genome"
PQ068679,156358,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu881_2 chloroplast, complete genome"
PQ068678,156358,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu881_1 chloroplast, complete genome"
PQ068677,156352,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu875_2 chloroplast, complete genome"
PQ068676,156352,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu875_1 chloroplast, complete genome"
PQ068675,156107,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu744L_5 chloroplast, complete genome"
PQ068674,156342,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu744L_4 chloroplast, complete genome"
PQ068673,156107,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu744L_3 chloroplast, complete genome"
PQ068672,156107,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu744L_2 chloroplast, complete genome"
PQ068671,156107,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu744L_1 chloroplast, complete genome"
PQ068670,156104,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu859_4 chloroplast, complete genome"
PQ068669,156104,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu859_3 chloroplast, complete genome"
PQ068668,156104,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu859_2 chloroplast, complete genome"
PQ068667,156104,2026,2293674,NA,NA,NA,NA,NA,NA,NA,"Bredia longearistata isolate Liu859_1 chloroplast, complete genome"
PQ068666,156090,2026,2293673,NA,NA,NA,NA,NA,NA,NA,"Bredia latisepala isolate Liu557_4 chloroplast, complete genome"
PQ068665,156090,2026,2293673,NA,NA,NA,NA,NA,NA,NA,"Bredia latisepala isolate Liu557_3 chloroplast, complete genome"
PQ068664,156090,2026,2293673,NA,NA,NA,NA,NA,NA,NA,"Bredia latisepala isolate Liu557_2 chloroplast, complete genome"
PQ068663,156090,2026,2293673,NA,NA,NA,NA,NA,NA,NA,"Bredia latisepala isolate Liu557_1 chloroplast, complete genome"
PQ068662,156246,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu880_5 chloroplast, complete genome"
PQ068661,156226,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu880_4 chloroplast, complete genome"
PQ068660,156246,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu880_3 chloroplast, complete genome"
PQ068659,156226,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu880_2 chloroplast, complete genome"
PQ068658,156226,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu880_1 chloroplast, complete genome"
PQ068657,156173,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu745_5 chloroplast, complete genome"
PQ068656,156159,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu745_4 chloroplast, complete genome"
PQ068655,156169,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu745_3 chloroplast, complete genome"
PQ068654,156169,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu745_2 chloroplast, complete genome"
PQ068653,156169,2026,2293652,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii var. micrantha isolate Liu745_1 chloroplast, complete genome"
PQ068652,156122,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu871_5 chloroplast, complete genome"
PQ068651,156120,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu871_4 chloroplast, complete genome"
PQ068650,156120,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu871_3 chloroplast, complete genome"
PQ068649,156118,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu871_2 chloroplast, complete genome"
PQ068648,156122,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu871_1 chloroplast, complete genome"
PQ068647,156183,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu856_5 chloroplast, complete genome"
PQ068646,156183,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu856_4 chloroplast, complete genome"
PQ068645,156183,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu856_3 chloroplast, complete genome"
PQ068644,156183,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu856_2 chloroplast, complete genome"
PQ068643,156183,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu856_1 chloroplast, complete genome"
PQ068642,156202,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu874_3 chloroplast, complete genome"
PQ068641,156202,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu874_2 chloroplast, complete genome"
PQ068640,156269,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu874_1 chloroplast, complete genome"
PQ068639,156117,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu742_5 chloroplast, complete genome"
PQ068638,156117,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu742_4 chloroplast, complete genome"
PQ068637,156117,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu742_3 chloroplast, complete genome"
PQ068636,156117,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu742_2 chloroplast, complete genome"
PQ068635,156117,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu742_1 chloroplast, complete genome"
PQ068634,156360,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu739_5 chloroplast, complete genome"
PQ068633,156270,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu739_4 chloroplast, complete genome"
PQ068632,156170,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu739_3 chloroplast, complete genome"
PQ068631,156170,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu739_2 chloroplast, complete genome"
PQ068630,156170,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu739_1 chloroplast, complete genome"
PQ068629,156186,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu776_5 chloroplast, complete genome"
PQ068628,156188,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu776_4 chloroplast, complete genome"
PQ068627,156186,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu776_3 chloroplast, complete genome"
PQ068626,156186,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu776_2 chloroplast, complete genome"
PQ068625,156191,2026,1671326,NA,NA,NA,NA,NA,NA,NA,"Bredia fordii isolate Liu776_1 chloroplast, complete genome"
PQ068624,155960,2026,3238338,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii var. cordata isolate Liu749_5 chloroplast, complete genome"
PQ068623,155960,2026,3238338,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii var. cordata isolate Liu749_4 chloroplast, complete genome"
PQ068622,155960,2026,3238338,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii var. cordata isolate Liu749_3 chloroplast, complete genome"
PQ068621,155960,2026,3238338,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii var. cordata isolate Liu749_2 chloroplast, complete genome"
PQ068620,155961,2026,3238338,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii var. cordata isolate Liu749_1 chloroplast, complete genome"
PQ068619,155794,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu770_5 chloroplast, complete genome"
PQ068618,155794,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu770_4 chloroplast, complete genome"
PQ068617,155793,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu770_3 chloroplast, complete genome"
PQ068616,155992,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu770_2 chloroplast, complete genome"
PQ068615,155794,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu770_1 chloroplast, complete genome"
PQ068614,156039,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu769_5 chloroplast, complete genome"
PQ068613,156063,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu769_4 chloroplast, complete genome"
PQ068612,156038,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu769_3 chloroplast, complete genome"
PQ068611,156038,2026,2293651,NA,NA,NA,NA,NA,NA,NA,"Bredia esquirolii isolate Liu769_2 chloroplast, complete genome"
