"","Genes","T3s","C3s","A3s","G3s","CAI","CBI","Fop","Nc","GC3s","GC","L_sym","L_aa","Gravy","Aromo","A3_bias","G3_bias"
"23","pafII",0.5099,0.1589,0.3556,0.2174,0.169,-0.063,0.374,49.14,0.282,0.384,174,184,0.263043,0.179348,0.410860774119006,0.577730534148286
"24","cemA",0.5138,0.1989,0.4241,0.1538,0.205,-0.027,0.394,43.37,0.259,0.33,216,229,0.197817,0.148472,0.452180403028041,0.436064644173519
"25","petA",0.4903,0.1712,0.3571,0.2455,0.186,-0.103,0.35,52.46,0.312,0.403,314,320,-0.085625,0.08125,0.421406655652584,0.589152867770578
"26","rps18",0.4875,0.125,0.4353,0.1711,0.106,-0.156,0.313,36.33,0.232,0.347,99,101,-0.792079,0.059406,0.471716514954486,0.577845322526173
"27","rpl20",0.46,0.1,0.4457,0.2078,0.095,-0.193,0.292,46.44,0.23,0.359,113,117,-0.488034,0.076923,0.492105553715358,0.67511371020143
"28","clpP1",0.4423,0.1731,0.4362,0.1765,0.178,-0.106,0.341,56.65,0.276,0.423,185,196,0.085204,0.096939,0.496528173022197,0.504862700228833
"29","psbB",0.4908,0.1705,0.3817,0.1507,0.182,-0.087,0.364,46.38,0.262,0.434,481,508,0.113189,0.145669,0.437478510028653,0.469178082191781
"30","petB",0.5056,0.1611,0.3374,0.1678,0.222,0.01,0.405,46.55,0.27,0.409,200,215,0.565117,0.134884,0.400237247924081,0.510185466707206
"31","petD",0.4783,0.1087,0.464,0.1207,0.175,-0.092,0.32,39.16,0.19,0.381,153,160,0.58375,0.10625,0.492412182956596,0.52615518744551
"32","rpoA",0.4706,0.1608,0.502,0.1589,0.158,-0.12,0.342,48.12,0.235,0.347,319,327,-0.344648,0.070336,0.516142298992392,0.497028464185174
"33","rps11",0.45,0.125,0.4569,0.1028,0.153,-0.113,0.346,43.54,0.195,0.454,133,138,-0.365217,0.036232,0.503804168044988,0.451273046532046
"34","rps8",0.4174,0.1652,0.4571,0.1667,0.103,-0.053,0.372,36.33,0.256,0.373,129,134,-0.339552,0.052239,0.522698684962836,0.502259716782163
"35","rpl14",0.4314,0.1765,0.4639,0.1446,0.167,-0.056,0.37,49.56,0.252,0.404,119,122,-0.041803,0.032787,0.518150340667933,0.450327000934288
"36","rpl16",0.3868,0.1509,0.5179,0.1111,0.128,-0.072,0.373,40.63,0.214,0.427,126,135,-0.462963,0.081481,0.572454957444457,0.424045801526718
"37","rps3",0.45,0.1688,0.5318,0.1329,0.145,-0.143,0.333,49.53,0.219,0.356,210,218,-0.364679,0.073394,0.541658178855164,0.44050381173351
"38","rpl22",0.4034,0.1513,0.5431,0.1485,0.143,-0.077,0.368,51.34,0.229,0.382,144,151,-0.443709,0.086093,0.573798203909139,0.495330220146765
"39","rpl2",0.4017,0.188,0.4247,0.1878,0.139,-0.091,0.362,52.81,0.302,0.44,268,274,-0.572993,0.047445,0.51391577928364,0.499733901011176
"40","ndhB",0.4331,0.2063,0.4293,0.1293,0.166,-0.074,0.362,47.65,0.273,0.374,484,510,0.650392,0.12549,0.497796846011132,0.385280095351609
"41","rps7",0.4132,0.1488,0.5231,0.1176,0.186,-0.068,0.38,45,0.213,0.409,150,155,-0.580645,0.045161,0.558688454555164,0.441441441441441
"42","ycf1",0.4839,0.1548,0.5558,0.1551,0.161,-0.135,0.345,46.72,0.218,0.302,1819,1890,-0.598148,0.121164,0.534577281908243,0.500484027105518
"43","ndhH",0.4557,0.1672,0.4947,0.1429,0.16,-0.075,0.363,51.07,0.235,0.386,366,393,-0.136133,0.114504,0.520517676767677,0.46081909061593
"44","ndhA",0.4615,0.1282,0.4637,0.126,0.132,-0.146,0.301,43.76,0.203,0.344,349,363,0.721212,0.129477,0.501188932122784,0.495672698662471
"45","ndhI",0.5145,0.1812,0.4464,0.1443,0.212,-0.095,0.363,46.57,0.244,0.363,160,167,-0.164072,0.11976,0.464564470808617,0.44331797235023
"46","ndhG",0.5,0.1062,0.391,0.1927,0.13,-0.226,0.253,46.35,0.224,0.345,170,176,1.114773,0.119318,0.438832772166106,0.644697223151556
"47","ndhE",0.5618,0.1124,0.36,0.1639,0.145,-0.186,0.299,46.13,0.206,0.323,97,101,0.693069,0.09901,0.390540247342157,0.593195801664857
"48","ccsA",0.4513,0.1661,0.485,0.1034,0.149,-0.199,0.292,45.22,0.22,0.336,305,326,0.581288,0.150307,0.51799636868525,0.383673469387755
"49","ndhF",0.5331,0.1025,0.4366,0.1609,0.133,-0.242,0.264,44.26,0.194,0.319,697,736,0.568614,0.163043,0.450242342992678,0.61085801063022
